schema_name,table_name,column_name,data_type,is_nullable,char_max_length,numeric_precision,numeric_scale,column_default
dbo,_Asset,Name,nvarchar,NO,512,,,NULL
dbo,_Asset,Name_UC,nvarchar,NO,512,,,NULL
dbo,_Asset,Location,nvarchar,NO,512,,,NULL
dbo,_Asset,Location_UC,nvarchar,NO,512,,,NULL
dbo,_Asset,ParentLocation,nvarchar,NO,512,,,NULL
dbo,_Asset,ParentLocation_UC,nvarchar,NO,512,,,NULL
dbo,_Asset,Namespace,nvarchar,YES,128,,,NULL
dbo,_Asset,Namespace_UC,nvarchar,YES,128,,,NULL
dbo,_Asset,TimeZone,nvarchar,YES,128,,,NULL
dbo,_Asset,Description,nvarchar,YES,512,,,NULL
dbo,_Asset,Keywords,nvarchar,YES,512,,,NULL
dbo,_Asset,Geolocation,nvarchar,YES,128,,,NULL
dbo,_Asset,Id,nvarchar,YES,128,,,NULL
dbo,_Asset,ETag,nvarchar,YES,128,,,NULL
dbo,_AutoIntervalReplicationSchedule,ReplicationScheduleKey,int,NO,,10,0,NULL
dbo,_AutoIntervalReplicationSchedule,Period,smallint,NO,,5,0,NULL
dbo,_AutoIntervalReplicationSchedule,Unit,nvarchar,NO,32,,,NULL
dbo,_AutoReplicationGroup,ReplicationGroupKey,int,NO,,10,0,NULL
dbo,_AutoReplicationGroup,ReplicationGroupName,nvarchar,NO,255,,,NULL
dbo,_AutoReplicationGroup,ReplicationServerKey,int,NO,,10,0,NULL
dbo,_AutoReplicationGroup,ReplicationTypeKey,tinyint,NO,,3,0,NULL
dbo,_AutoReplicationGroup,ReplicationScheduleKey,int,NO,,10,0,NULL
dbo,_AutoReplicationGroup,SummaryReplicationNamingScheme,nvarchar,YES,512,,,NULL
dbo,_AutoReplicationGroup,GroupAbbreviation,nvarchar,YES,32,,,(N'')
dbo,_AutoReplicationGroup,ChangeVersion,timestamp,NO,,,,NULL
dbo,_AutoReplicationGroup,Status,tinyint,YES,,3,0,((0))
dbo,_AutoReplicationRule,Name,nvarchar,NO,255,,,NULL
dbo,_AutoReplicationRule,Priority,int,NO,,10,0,((0))
dbo,_AutoReplicationRule,TagFilter,nvarchar,NO,4000,,,NULL
dbo,_AutoReplicationRule,ReplicationGroupKey,int,NO,,10,0,NULL
dbo,_AutoReplicationRule,ReplicationServerKey,int,NO,,10,0,NULL
dbo,_AutoReplicationRule,Enabled,bit,NO,,,,((1))
dbo,_AutoReplicationRule,ApplyOtherRules,bit,NO,,,,((0))
dbo,_AutoReplicationRule,Id,int,NO,,10,0,NULL
dbo,_AutoReplicationRule,ChangeVersion,timestamp,NO,,,,NULL
dbo,_AutoReplicationSchedule,ReplicationScheduleKey,int,NO,,10,0,NULL
dbo,_AutoReplicationSchedule,ReplicationScheduleName,nvarchar,NO,255,,,NULL
dbo,_AutoReplicationSchedule,ReplicationScheduleTypeKey,int,NO,,10,0,NULL
dbo,_AutoReplicationSchedule,ReplicationScheduleAbbreviation,nvarchar,NO,32,,,NULL
dbo,_AutoReplicationSchedule,CreateGroup,bit,NO,,,,NULL
dbo,_AutoReplicationServer,ReplicationServerKey,int,NO,,10,0,NULL
dbo,_AutoReplicationServer,ReplicationServerName,nvarchar,NO,255,,,NULL
dbo,_AutoReplicationServer,Description,nvarchar,YES,512,,,NULL
dbo,_AutoReplicationServer,SFPath,nvarchar,YES,260,,,NULL
dbo,_AutoReplicationServer,SFFreeSpace,int,NO,,10,0,((125))
dbo,_AutoReplicationServer,CompressionEnabled,bit,YES,,,,((0))
dbo,_AutoReplicationServer,UserName,nvarchar,YES,255,,,NULL
dbo,_AutoReplicationServer,Password,nvarchar,YES,512,,,NULL
dbo,_AutoReplicationServer,TCPPort,int,NO,,10,0,((32568))
dbo,_AutoReplicationServer,SummaryReplicationNamingScheme,nvarchar,YES,512,,,NULL
dbo,_AutoReplicationServer,SimpleReplicationNamingScheme,nvarchar,YES,512,,,NULL
dbo,_AutoReplicationServer,BufferCount,int,NO,,10,0,((128))
dbo,_AutoReplicationServer,Bandwidth,int,NO,,10,0,((-1))
dbo,_AutoReplicationServer,MinSFDuration,int,NO,,10,0,((180))
dbo,_AutoReplicationServer,ConnectionDetails,nvarchar,YES,4000,,,NULL
dbo,_AutoReplicationServer,IntegratedSecurity,bit,YES,,,,((0))
dbo,_AutoReplicationServer,ReplicateEvents,bit,NO,,,,((1))
dbo,_AutoReplicationServer,ChangeVersion,timestamp,NO,,,,NULL
dbo,_AutoReplicationServer,Status,tinyint,YES,,3,0,((0))
dbo,_AutoReplicationServer,HighLatencyNetwork,bit,NO,,,,((0))
dbo,_AutoReplicationTagEntity,ReplicationTagEntityKey,int,NO,,10,0,NULL
dbo,_AutoReplicationTagEntity,ReplicationServerKey,int,NO,,10,0,NULL
dbo,_AutoReplicationTagEntity,DestinationTagName,nvarchar,NO,256,,,NULL
dbo,_AutoReplicationTagEntity,DestinationTagId,uniqueidentifier,NO,,,,(newsequentialid())
dbo,_AutoReplicationTagEntity,SourceTagName,nvarchar,NO,256,,,NULL
dbo,_AutoReplicationTagEntity,ReplicationGroupKey,int,NO,,10,0,NULL
dbo,_AutoReplicationTagEntity,MaximumStates,tinyint,NO,,3,0,NULL
dbo,_AutoReplicationTagEntity,CurrentEditor,tinyint,NO,,3,0,((0))
dbo,_AutoReplicationTagEntity,ReplicationTagEntityId,uniqueidentifier,NO,,,,(newsequentialid())
dbo,_AutoReplicationTagEntity,ChangeVersion,timestamp,NO,,,,NULL
dbo,_AutoReplicationTagEntity,Status,tinyint,YES,,3,0,((1))
dbo,_AutoTag,ShardId,uniqueidentifier,NO,,,,('00000000-0000-0000-0000-000000000001')
dbo,_AutoTag,TagId,uniqueidentifier,NO,,,,(newsequentialid())
dbo,_AutoTag,TagName,nvarchar,NO,256,,,NULL
dbo,_AutoTag,IOServerKey,int,YES,,10,0,NULL
dbo,_AutoTag,TopicKey,int,YES,,10,0,NULL
dbo,_AutoTag,Description,nvarchar,YES,512,,,(N'')
dbo,_AutoTag,AcquisitionType,tinyint,NO,,3,0,((1))
dbo,_AutoTag,StorageType,smallint,NO,,5,0,((2))
dbo,_AutoTag,StorageRate,int,NO,,10,0,((10000))
dbo,_AutoTag,ItemName,nvarchar,YES,256,,,(N'')
dbo,_AutoTag,TagType,int,NO,,10,0,NULL
dbo,_AutoTag,DeadbandType,smallint,NO,,5,0,((1))
dbo,_AutoTag,TimeDeadband,int,YES,,10,0,((0))
dbo,_AutoTag,ServerTimeStamp,bit,NO,,,,((0))
dbo,_AutoTag,ChannelStatus,tinyint,NO,,3,0,((1))
dbo,_AutoTag,MessageKey,int,YES,,10,0,NULL
dbo,_AutoTag,EUKey,int,YES,,10,0,NULL
dbo,_AutoTag,MinEU,float,YES,,53,,NULL
dbo,_AutoTag,MaxEU,float,YES,,53,,NULL
dbo,_AutoTag,MinRaw,float,YES,,53,,NULL
dbo,_AutoTag,MaxRaw,float,YES,,53,,NULL
dbo,_AutoTag,Scaling,int,YES,,10,0,NULL
dbo,_AutoTag,RawType,int,YES,,10,0,NULL
dbo,_AutoTag,ValueDeadband,float,YES,,53,,NULL
dbo,_AutoTag,IntegerSize,tinyint,YES,,3,0,NULL
dbo,_AutoTag,SignedInteger,bit,YES,,,,NULL
dbo,_AutoTag,RateDeadband,float,YES,,53,,NULL
dbo,_AutoTag,InterpolationType,tinyint,YES,,3,0,NULL
dbo,_AutoTag,RolloverValue,float,YES,,53,,NULL
dbo,_AutoTag,MaxLength,smallint,YES,,5,0,NULL
dbo,_AutoTag,DoubleByte,tinyint,YES,,3,0,NULL
dbo,_AutoTag,StructureId,uniqueidentifier,YES,,,,NULL
dbo,_AutoTag,SourceTag,nvarchar,YES,256,,,NULL
dbo,_AutoTag,SourceServer,nvarchar,YES,255,,,NULL
dbo,_AutoTag,SourceTagId,uniqueidentifier,YES,,,,NULL
dbo,_AutoTag,CurrentEditor,tinyint,NO,,3,0,((0))
dbo,_AutoTag,wwTagKey,int,NO,,10,0,NULL
dbo,_AutoTag,AIHistory,bit,NO,,,,((1))
dbo,_AutoTag,DateCreated,datetime2,NO,,,,(getdate())
dbo,_AutoTag,CreatedBy,nvarchar,NO,256,,,(suser_sname())
dbo,_AutoTag,ChangeVersion,timestamp,NO,,,,NULL
dbo,_AutoTag,CEVersion,tinyint,NO,,3,0,((0))
dbo,_AutoTag,Status,tinyint,YES,,3,0,((1))
dbo,_AutoTagHistory,TagId,uniqueidentifier,NO,,,,NULL
dbo,_AutoTagHistory,TagName,nvarchar,NO,256,,,NULL
dbo,_AutoTagHistory,Description,nvarchar,YES,512,,,(N'')
dbo,_AutoTagHistory,AcquisitionType,tinyint,NO,,3,0,((1))
dbo,_AutoTagHistory,StorageType,smallint,NO,,5,0,((2))
dbo,_AutoTagHistory,StorageRate,int,NO,,10,0,((10000))
dbo,_AutoTagHistory,TagType,int,NO,,10,0,NULL
dbo,_AutoTagHistory,TimeDeadband,int,YES,,10,0,((0))
dbo,_AutoTagHistory,DateCreated,datetime2,NO,,,,(getdate())
dbo,_AutoTagHistory,CreatedBy,nvarchar,NO,256,,,(suser_sname())
dbo,_AutoTagHistory,CurrentEditor,tinyint,NO,,3,0,((0))
dbo,_AutoTagHistory,ServerTimeStamp,bit,NO,,,,((0))
dbo,_AutoTagHistory,DeadbandType,smallint,NO,,5,0,((1))
dbo,_AutoTagHistory,ChannelStatus,tinyint,NO,,3,0,((1))
dbo,_AutoTagHistory,AIHistory,bit,NO,,,,((1))
dbo,_AutoTagHistory,Message0,nvarchar,YES,64,,,NULL
dbo,_AutoTagHistory,Message1,nvarchar,YES,64,,,NULL
dbo,_AutoTagHistory,Unit,nvarchar,YES,32,,,NULL
dbo,_AutoTagHistory,DefaultTagRate,int,YES,,10,0,NULL
dbo,_AutoTagHistory,IntegralDivisor,float,YES,,53,,NULL
dbo,_AutoTagHistory,MinEU,float,YES,,53,,NULL
dbo,_AutoTagHistory,MaxEU,float,YES,,53,,NULL
dbo,_AutoTagHistory,MinRaw,float,YES,,53,,NULL
dbo,_AutoTagHistory,MaxRaw,float,YES,,53,,NULL
dbo,_AutoTagHistory,Scaling,int,YES,,10,0,NULL
dbo,_AutoTagHistory,RawType,int,YES,,10,0,NULL
dbo,_AutoTagHistory,ValueDeadband,float,YES,,53,,NULL
dbo,_AutoTagHistory,IntegerSize,tinyint,YES,,3,0,NULL
dbo,_AutoTagHistory,SignedInteger,bit,YES,,,,NULL
dbo,_AutoTagHistory,RateDeadband,float,YES,,53,,NULL
dbo,_AutoTagHistory,InterpolationType,tinyint,YES,,3,0,NULL
dbo,_AutoTagHistory,RolloverValue,float,YES,,53,,NULL
dbo,_AutoTagHistory,MaxLength,smallint,YES,,5,0,NULL
dbo,_AutoTagHistory,DoubleByte,tinyint,YES,,3,0,NULL
dbo,_AutoTagHistory,StructureId,uniqueidentifier,YES,,,,NULL
dbo,_AutoTagHistory,SourceTag,nvarchar,YES,256,,,NULL
dbo,_AutoTagHistory,SourceServer,nvarchar,YES,255,,,NULL
dbo,_AutoTagHistory,SourceTagId,uniqueidentifier,YES,,,,NULL
dbo,_AutoTagHistory,ShardId,uniqueidentifier,NO,,,,('00000000-0000-0000-0000-000000000001')
dbo,_DeletedReplicationTagExtendedProperty,ReplicationTagExtendedPropertyKey,int,NO,,10,0,NULL
dbo,_DeletedReplicationTagExtendedProperty,ChangeVersion,timestamp,NO,,,,NULL
dbo,_EventTag,TagName,nvarchar,NO,256,,,NULL
dbo,_EventTag,DetectorTypeKey,int,YES,,10,0,NULL
dbo,_EventTag,DetectorString,nvarchar,YES,1500,,,(N'')
dbo,_EventTag,ActionTypeKey,int,YES,,10,0,NULL
dbo,_EventTag,ActionString,nvarchar,YES,1500,,,(N'')
dbo,_EventTag,UseThreadPool,bit,NO,,,,((1))
dbo,_EventTag,ScanRate,int,YES,,10,0,((60000))
dbo,_EventTag,Logged,bit,NO,,,,((1))
dbo,_EventTag,PostDetectorDelay,int,NO,,10,0,((0))
dbo,_EventTag,Priority,tinyint,NO,,3,0,((0))
dbo,_EventTag,Edge,tinyint,NO,,3,0,((1))
dbo,_EventTag,Status,tinyint,NO,,3,0,((0))
dbo,_IODriver,IODriverKey,int,NO,,10,0,NULL
dbo,_IODriver,ComputerName,nvarchar,NO,255,,,(N'')
dbo,_IODriver,AltComputerName,nvarchar,YES,255,,,(N'')
dbo,_IODriver,StoreForwardMode,tinyint,NO,,3,0,((0))
dbo,_IODriver,StoreForwardPath,nvarchar,YES,255,,,(N'')
dbo,_IODriver,MinMBThreshold,int,NO,,10,0,((16))
dbo,_IODriver,Status,tinyint,YES,,3,0,((1))
dbo,_IODriver,Enabled,bit,NO,,,,((1))
dbo,_IODriver,StoreForwardDuration,int,NO,,10,0,((180))
dbo,_IODriver,AutonomousStartupTimeout,int,NO,,10,0,((60))
dbo,_IODriver,BufferCount,int,NO,,10,0,((128))
dbo,_IODriver,FileChunkSize,int,NO,,10,0,((65536))
dbo,_IODriver,ForwardingDelay,int,NO,,10,0,((0))
dbo,_IODriver,ConnectionTimeout,int,NO,,10,0,((60))
dbo,_IODriver,CompressionEnabled,bit,NO,,,,((0))
