schema_name,table_name,row_count
dbo,_Asset,0
dbo,_AutoIntervalReplicationSchedule,2
dbo,_AutoReplicationGroup,1
dbo,_AutoReplicationRule,1
dbo,_AutoReplicationSchedule,2
dbo,_AutoReplicationServer,1
dbo,_AutoReplicationTagEntity,12830
dbo,_AutoTag,12835
dbo,_AutoTagHistory,797
dbo,_DeletedReplicationTagExtendedProperty,872
dbo,_EventTag,1
dbo,_IODriver,3
dbo,_IOServer,2
dbo,_ReplicationTagExtendedProperty,2034
dbo,_Tag,15399
dbo,_TagExtendedProperty,41077
dbo,_Topic,2
dbo,aaAreaData,2293
dbo,aaAreaXML,1
dbo,aaAttributeData,15197
dbo,aaAttributeDataPending,190
dbo,aaHistClientReport,0
dbo,aaHistClientReportsFolder,0
dbo,aaHistClientReportSite,0
dbo,aaObjectData,11111
dbo,aaObjectDataPending,194
dbo,ActionType,7
dbo,AnalogSnapshot,336
dbo,AttributeType,35
dbo,CalcType,4
dbo,ChangeNotification,10
dbo,ChannelStatus,2
dbo,ChartConfiguration,38
dbo,ChartConfigurationAuditLog,0
dbo,ChartConfigurationKeyword,31
dbo,ChartConfigurationStatistics,117
dbo,Comments,3
dbo,CommentsType,1
dbo,ConfigStatusPending,0
dbo,ConfigStatusSnapshot,0
dbo,Context,0
dbo,CurrentEditor,3
dbo,CustomReplicationSchedule,0
dbo,DeletedReplicationTagEntity,107
dbo,DeletedTag,0
dbo,DetectorType,6
dbo,Deviation,0
dbo,DiscreteSnapshot,0
dbo,EngineeringUnit,130
dbo,EngineeringUnitCatalog,467
dbo,EngineeringUnitDimension,41
dbo,EngineeringUnitSystem,5
dbo,ErrorLog,0
dbo,EventHistory,168
dbo,EventTagPendingDelete,0
dbo,Frequency,5
dbo,GroupTagList,0
dbo,HistorianSysObjects,134
dbo,IntervalReplicationSchedule,6
dbo,InTouchNode,0
dbo,InTouchSpecific,0
dbo,IOServerType,85
dbo,Limit,0
dbo,LimitName,0
dbo,LocalizedText,1655
dbo,ManualAnalogHistory,0
dbo,ManualDiscreteHistory,0
dbo,ManualStringHistory,0
dbo,Message,7
dbo,ModLogColumn,0
dbo,ModLogTable,0
dbo,NameSpaceIcons,33
dbo,OPCQualityMap,64
dbo,PrivateGroupTag,0
dbo,PrivateNameSpace,1
dbo,PublicGroupTag,25545
dbo,PublicNameSpace,10044
dbo,QualityMap,611
dbo,RateOfChange,0
dbo,ReplicationGroup,25
dbo,ReplicationRule,0
dbo,ReplicationSchedule,7
dbo,ReplicationScheduleType,2
dbo,ReplicationServer,2
dbo,ReplicationShard,2
dbo,ReplicationSyncRequest,0
dbo,ReplicationSyncRequestPending,0
dbo,ReplicationTagEntity,813
dbo,ReplicationType,3
dbo,SearchMessageSyncRequest,0
dbo,ServerList,1
dbo,ShardAssignmentRule,1
dbo,ShareMode,2
dbo,SnapshotDetail,6
dbo,SnapshotTag,2
dbo,SQLTemplate,7
dbo,StorageLocation,14
dbo,StorageShard,2
dbo,StorageType,7
dbo,StringSnapshot,0
dbo,StructureAttributes,102
dbo,StructureType,8
dbo,SummaryData,0
dbo,SummaryHistory,0
dbo,SummaryOperation,0
dbo,SummaryTagList,0
dbo,SystemParameter,41
dbo,TagExtendedPropertyName,5
dbo,TagGroup,1
dbo,TagHistory,5033
dbo,TagRef,15399
dbo,TagType,5
dbo,TimeDetectorDetail,0
dbo,TimeDetectorDetailPendingDelete,0
dbo,TimeUnit,2
dbo,TimeZone,190
dbo,TopicImportInfo,0
dbo,UserDetail,65
dbo,WideTableDictionary,0
