schema_name,table_name,column_name,data_type,is_nullable,char_max_length,numeric_precision,numeric_scale,column_default
dbo,ACAFSContainer,ACContainerID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSContainer,AFSContainerID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSContainer,SetupID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSFeeding,ACRegDate,datetime,NO,,,,NULL
dbo,ACAFSFeeding,ACContainerID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSFeeding,ACSiloID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSFeeding,AFSOperationID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensor,ACSensorID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensor,AFSSensorID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensor,ImportMethod,int,NO,,10,0,NULL
dbo,ACAFSSensor,ImportParameter,float,YES,,53,,NULL
dbo,ACAFSSensor,SetupID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensorReading,ACSensorID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensorReading,ACReadingTime,datetime,NO,,,,NULL
dbo,ACAFSSensorReading,AFSSensorID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSensorReading,AFSReadingTime,datetime,NO,,,,NULL
dbo,ACAFSSetup,SetupID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSetup,ACConnectionString,nvarchar,NO,-1,,,NULL
dbo,ACAFSSetup,BackSynchDir,nvarchar,NO,-1,,,NULL
dbo,ACAFSSetup,ACID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSetup,Name,nvarchar,NO,-1,,,NULL
dbo,ACAFSSetup,ExportStatus,bit,NO,,,,NULL
dbo,ACAFSSetup,ImportFeedings,bit,NO,,,,NULL
dbo,ACAFSSetup,ImportSensorData,bit,NO,,,,NULL
dbo,ACAFSSetup,LastSensorImportTime,datetime,YES,,,,NULL
dbo,ACAFSSetup,LastFeedImportDate,datetime,YES,,,,NULL
dbo,ACAFSSetup,MinInterval,int,NO,,10,0,NULL
dbo,ACAFSSilo,ACSiloID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSilo,AFSFeedstoreUnitID,uniqueidentifier,NO,,,,NULL
dbo,ACAFSSilo,SetupID,uniqueidentifier,NO,,,,NULL
dbo,ACFeedingDetails,FeedingID,uniqueidentifier,NO,,,,NULL
dbo,ACFeedingDetails,StartRegTime,datetime,NO,,,,NULL
dbo,ACFeedingDetails,EndRegTime,datetime,NO,,,,NULL
dbo,ACFeedingDetails,MealEnumeration,int,NO,,10,0,NULL
dbo,ACFeedingDetails,FeedingType,smallint,NO,,5,0,NULL
dbo,ACFeedingDetails,StopReason,smallint,YES,,5,0,NULL
dbo,ACFeedingDetails,CalcAmount,float,YES,,53,,NULL
dbo,ACFeedingDetails,Amount,float,NO,,53,,NULL
dbo,ACFeedingDetails,KgTonMinFactor,int,YES,,10,0,NULL
dbo,ACFeedingDetails,PelFishMinFactor,int,YES,,10,0,NULL
dbo,ACFeedingDetails,LowPelletThreshold,smallint,YES,,5,0,NULL
dbo,ACFeedingDetails,HighPelletThreshold,smallint,YES,,5,0,NULL
dbo,ACFeedingDetails,AFSOperationID,uniqueidentifier,NO,,,,NULL
dbo,Action,ActionID,uniqueidentifier,NO,,,,NULL
dbo,Action,PopulationID,uniqueidentifier,NO,,,,NULL
dbo,Action,ActionType,int,NO,,10,0,NULL
dbo,Action,ActionOrder,int,NO,,10,0,NULL
dbo,Action,OperationID,uniqueidentifier,NO,,,,NULL
dbo,ActionDocument,ActionID,uniqueidentifier,NO,,,,NULL
dbo,ActionDocument,DocumentID,uniqueidentifier,NO,,,,NULL
dbo,ActionMetaData,ActionID,uniqueidentifier,NO,,,,NULL
dbo,ActionMetaData,ParameterID,int,NO,,10,0,NULL
dbo,ActionMetaData,ParameterValue,float,YES,,53,,NULL
dbo,ActionMetaData,ParameterString,nvarchar,YES,-1,,,NULL
dbo,ActionMetaData,ParameterDate,datetime,YES,,,,NULL
dbo,ActionMetaData,ParameterGuid,uniqueidentifier,YES,,,,NULL
dbo,ActionRelations,ParentActionID,uniqueidentifier,NO,,,,NULL
dbo,ActionRelations,RelatedActionID,uniqueidentifier,NO,,,,NULL
dbo,ActionRelations,RelationType,int,YES,,10,0,NULL
dbo,ActiveSubstance,ActiveSubstanceID,int,NO,,10,0,NULL
dbo,ActiveSubstance,TextID,int,NO,,10,0,NULL
dbo,ActiveSubstance,DefaultText,nvarchar,NO,-1,,,NULL
dbo,ActiveSubstance,Active,bit,NO,,,,NULL
dbo,ActiveSubstance,SystemDelivered,bit,NO,,,,NULL
dbo,ActiveSubstance,MedicinePurposeID,int,YES,,10,0,NULL
dbo,ActivityLog,RegistrationTime,datetime,NO,,,,NULL
dbo,ActivityLog,UserID,uniqueidentifier,NO,,,,NULL
