schema_name,table_name,row_count
dbo,ACAFSContainer,0
dbo,ACAFSFeeding,0
dbo,ACAFSSensor,0
dbo,ACAFSSensorReading,0
dbo,ACAFSSetup,0
dbo,ACAFSSilo,0
dbo,ACFeedingDetails,0
dbo,Action,13319403
dbo,ActionDocument,4
dbo,ActionMetaData,6005088
dbo,ActionRelations,10299
dbo,ActiveSubstance,30
dbo,ActivityLog,0
dbo,AltinnLiceSampleData,0
dbo,AltinnLiceSamples,0
dbo,AltinnReports,0
dbo,AmoebaTypes,5
dbo,AppRegLog,0
dbo,AppRegLogOperations,0
dbo,AppVersionLog,8
dbo,AquaStandardCauses,185
dbo,Archived,0
dbo,AttributeBand,6
dbo,AttributeTransformation,2
dbo,BathTreatmentMethod,14
dbo,BiomassLimit,0
dbo,BiomassLimitAssignment,0
dbo,BiomassLimitContainerAssignment,0
dbo,BiomassLimitFishTypeAssignments,0
dbo,BiomassLimitHistory,0
dbo,BiomassLimitProfile,1
dbo,BiomassLimitProfileAssignment,1
dbo,BiomassLimitRequirements,0
dbo,Broodstock,189
dbo,ChangeLog,4409385
dbo,ChangeLogMetaData,4377671
dbo,CodeListProfile,6
dbo,CodeListProfileAssignment,7
dbo,CodeListProfileSetup,3661
dbo,CommentCategory,24
dbo,CommentEntry,11949
dbo,ConnectLog,54
dbo,ConnectTreatmentAndFeedingOps,14449
dbo,ConsolidationLog,1
dbo,ConsolidationLogItem,220
dbo,ConsolidationReceptionFolder,1
dbo,ConsolidationSites,0
dbo,ConsolidationTask,1
dbo,ConsolidationTaskScript,0
dbo,Contact,853
dbo,ContactProperties,5356
dbo,ContactPropertyDef,17
dbo,ContactsChanged,1
dbo,ContactTypePropertyAssigned,342
dbo,ContactTypes,1153
dbo,ContainerDisplayInfo,315
dbo,ContainerInactivePeriods,0
dbo,ContainerPhysics,16016
dbo,ContainerPhysicsHistory,12852
dbo,Containers,17066
dbo,ContainerTypes,19
dbo,ContainerWaterTypeHistory,0
dbo,CorrectionFactors,4176
dbo,County,308
dbo,Culling,55305
dbo,CullingCauses,28
dbo,CurrencyType,54
dbo,CustomActivity,19723
dbo,CustomActivityContainer,43915
dbo,CustomActivityDocument,1
dbo,CustomMapObject,0
dbo,CustomMapObjectPoint,0
dbo,CustomResolutionEntities,816000
dbo,CVDestinations,0
dbo,CVSettings,1
dbo,DBIdentity,1
dbo,DBSchemaLog,361
dbo,DBSchemaVersion,1
dbo,DecimalSettings,469
dbo,DeliveryReasons,4
dbo,DerivedAttribute,1
dbo,DerivedSensorTypeVariables,0
dbo,DerivedSensorVariables,0
dbo,DeviationCause,7
dbo,DeviationMessage,0
dbo,DeviationMessageDelivery,0
dbo,DeviationSystem,0
dbo,DirtySettings,0
dbo,Document,4
dbo,DocumentGroupAccess,0
dbo,DocumentKeyword,1
dbo,DocumentLastRevision,4
dbo,DocumentRoleAccess,0
dbo,DocumentType,8
dbo,DocumentUserAccess,0
dbo,DowngradingCauses,21
dbo,EnvironmentExamination,0
dbo,EnvironmentExaminationDocument,0
dbo,EnvironmentExaminationResult,4
dbo,EnvironmentExaminationType,2
dbo,EnvironmentReportIntegration,0
dbo,EnvironmentReportSetup,0
dbo,EnvironmentReportSetupPart,0
dbo,EnvironmentReportSetupPartOrganisation,0
dbo,EnvironmentSetupPartRoleAccess,0
dbo,EnvironmentSetupPartUserAccess,0
dbo,EnvironmentSetupPartUserGroupAccess,0
dbo,EscapeCauses,10
dbo,Escapes,15
dbo,ExcelImportTemplates,10
dbo,FADataField,226
dbo,FallowReasons,0
dbo,Farm,1
dbo,FarmDocument,0
dbo,FCRTableEntries,8639
dbo,FeedApplicableSpecies,1655
dbo,FeedBatch,9687
dbo,FeedCalibration,17670
dbo,FeedCalibrationUnit,87747
dbo,FeedCategory,10
dbo,FeedChangeTablePrice,0
dbo,FeedChangeTables,6
dbo,FeedChangeTableShare,38
dbo,FeedCollection,0
dbo,Feeding,4712975
dbo,FeedingMethods,7
dbo,FeedMainRawMaterials,0
dbo,FeedMedicineContents,9
dbo,FeedMessageActiveSubstanceMapping,0
dbo,FeedMessagePasswords,0
dbo,FeedMessagePigmentTypeMapping,0
dbo,FeedMessageRawMaterialMapping,0
dbo,FeedMessages,0
dbo,FeedPigmentContents,125
dbo,FeedProductionMethod,4
dbo,FeedProperties,6975
dbo,FeedPropertyTypes,64
dbo,FeedRawMaterial,0
dbo,FeedReceptionBatches,58297
dbo,FeedReceptions,48925
dbo,FeedReceptionSample,83
dbo,FeedReceptionSampleParameter,1
dbo,FeedStore,194
dbo,FeedStoreAccess,605
dbo,FeedStoreAndSupplierConnection,0
dbo,FeedStoreUnitAssignment,283
dbo,FeedTransfer,7918
dbo,FeedTransferCauses,10
dbo,FeedTypes,2502
dbo,FFAccount,85
dbo,FFAccountDistribution,70
dbo,FFAccountDistributionProfile,5
dbo,FFAccountGroup,31
dbo,FFBioFeeding,256006
dbo,FFBioHarvest,40761
dbo,FFBioInput,9984
dbo,FFBioSale,65
dbo,FFBioTransfer,2385
dbo,FFBioUserDefinedCost,0
dbo,FFBioVaccination,0
dbo,FFBioValue,32
dbo,FFChargeProfile,0
dbo,FFChargeProfileEntry,0
dbo,FFCostCenter,499
dbo,FFCostCenterAggregationFlag,373
dbo,FFCostCenterAggregationLink,0
dbo,FFCostCenterDistribution,167
dbo,FFCostCenterDistributionSetup,89
dbo,FFCostCenterGroup,88
dbo,FFCostCenterLock,34
dbo,FFCostDistributionCombinationKeyParts,6
dbo,FFCostDistributionCompositKeyParts,50
dbo,FFCostDistributionKeys,41
dbo,FFCostingBioStatus,442310
dbo,FFCostingBioStatusAttributeCounts,0
dbo,FFCostingBioStatusHarvestPerQuality,144636
dbo,FFCostingBioStatusVaccineCounts,263760
dbo,FFCostingBioTransfer,24197
dbo,FFCostingBioTransferAttributeCounts,0
dbo,FFCostingBioTransferVaccineCounts,22242
dbo,FFCostingDetail,57485
dbo,FFCostingProject,591
dbo,FFCostModel,0
dbo,FFCostModelCalculation,0
dbo,FFCostModelDetail,0
dbo,FFCostModelHeader,1
dbo,FFCostModelRule,0
dbo,FFCostTypes,0
dbo,FFDistributedAccountCost,43849
dbo,FFFinancialScenario,885
dbo,FFFinancialSetup,5
dbo,FFFirstBudgetPeriod,0
dbo,FFInvestment,0
dbo,FFLeasing,0
dbo,FFLoan,0
dbo,FFLockPeriod,5
dbo,FFLockPeriodLog,377
dbo,FFMortalityByCostCenterAndPeriod,188
dbo,FFOverdraftFacility,0
dbo,FFOverdraftInterest,0
dbo,FFOverdraftLimit,0
dbo,FFPaymentInterval,0
dbo,FFPaymentProfile,0
dbo,FFPaymentProfileEntry,0
dbo,FFPeriodCalculationSettings,167
dbo,FFRFS,118
dbo,FFRFSProfile,7
dbo,FFUndistributedAccountCost,40933
dbo,FFUserDefinedCost,0
dbo,FiscalPeriod,168
dbo,FiscalYear,14
dbo,FishGroupAttributes,76
dbo,FishGroupAttributeValueList,174
dbo,FishGroupHistory,228945
dbo,FishtalkWebChangeHistory,0
