population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
FA8EA452-AFE1-490D-B236-0150415B6E6F,0.18,status,2026-02-04,2024-02-05,25375.0,4.5675,,SF NOV 23,235.0009,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
BDC7DE4A-C972-4D8D-AFC4-043F3CDA4640,0.18,status,2026-02-04,2024-02-05,35339.0,6.36102,,SF NOV 23,235.0038,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
A02A31DA-1248-409C-BAF2-053C2A65CDF6,14.48,status,2026-02-04,2024-06-17,85506.0,1237.81,,SF NOV 23,235.0084,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
33ACACC3-7EB3-48D5-B800-0853AC5996CD,5.1,status,2026-02-04,2024-05-08,198515.0,1011.98,,SF NOV 23,235.0065,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
A10A06A8-D605-4D4C-A9CB-0AF83A8BE900,13.4,status,2026-02-04,2024-06-11,362665.0,4858.35,,SF NOV 23,235.0071,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
D7295FE2-967E-4062-B679-0CB43B33FFDB,82.23,status,2026-02-04,2024-10-01,165625.0,13619.5,,SF NOV 23,235.0115,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
78307425-503F-4161-8448-0FBFA3763303,80.2,status,2026-02-04,2024-09-24,106416.0,8534.05,,SF NOV 23,235.0101,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
3CE28780-326A-4F4B-A83A-1199356E4712,121.14,status,2026-02-04,2024-11-21,226433.0,27430.0,,SF NOV 23,235.0126,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
CE8B3B0E-A415-4979-AEE6-13A083C0C8D0,0.18,status,2026-02-04,2024-02-05,33017.0,5.94306,,SF NOV 23,235.0026,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
4E1DC17B-900B-4A8F-BDCE-1516792EB6D5,107.3,status,2026-02-04,2024-10-24,94929.0,10185.9,,SF NOV 23,235.0127,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
181EAA35-D036-494C-A084-16E28DBC703C,5.26,status,2026-02-04,2024-05-07,183992.0,966.928,,SF NOV 23,235.0054,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
4432844A-C452-406A-A560-178D09596678,86.15,status,2026-02-04,2024-10-02,162197.0,13973.6,,SF NOV 23,235.0123,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
8CEF35A8-97C1-484A-B28E-17E1698BE743,18.98,status,2026-02-04,2024-06-20,121065.0,2298.2,,SF NOV 23,235.0098,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
98F26EE1-A72B-4BB2-9E65-1858475D6006,11.41,status,2026-02-04,2024-06-20,154365.0,1760.58,,SF NOV 23,235.0097,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
FBC6E252-720A-4445-A16F-2296F8EEEDA4,70.0,status,2026-02-04,2024-08-29,129528.0,9066.96,,SF NOV 23,235.0103,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
9DA58AC1-1C5D-4DC9-B184-25BE37406E97,55.2,status,2026-02-04,2024-09-03,167484.0,9245.17,,SF NOV 23,235.0111,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
055E0F2C-6B42-4299-A6C0-25CBFD313E27,0.18,status,2026-02-04,2024-02-05,30774.0,5.53932,,SF NOV 23,235.0010,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
F255166B-B2BF-49EB-B777-27E358015DD0,0.18,status,2026-02-04,2024-02-05,35522.0,6.39396,,SF NOV 23,235.0042,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
C5A53DB1-9298-4763-BA18-29250D0224BF,76.59,status,2026-02-04,2024-09-27,173241.0,13268.4,,SF NOV 23,235.0119,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
96011E57-47CC-4DC7-BD7F-2A70CD0C1708,10.69,status,2026-02-04,2024-06-18,51205.0,547.571,,SF NOV 23,235.0090,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
40770C4F-CFB2-4A0B-8A83-2C35DF089538,0.18,status,2026-02-04,2024-02-05,32520.0,5.8536,,SF NOV 23,235.0031,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
BD977F85-127F-4F59-8F27-2C69A9FFB9CE,16.53,status,2026-02-04,2024-06-17,378271.0,6254.51,,SF NOV 23,235.0087,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
8A0D4744-4DEF-475F-9DE5-2FB9456C3D42,0.18,status,2026-02-04,2024-02-05,35436.0,6.37848,,SF NOV 23,235.0035,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
01A678EA-3AEA-4ACE-9C60-322ACC341448,75.41,status,2026-02-04,2024-09-26,181131.0,13658.6,,SF NOV 23,235.0116,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
D1A8BC91-BA65-47FB-998A-32A144BB9F5A,69.23,status,2026-02-04,2024-08-30,261975.0,18137.7,,SF NOV 23,235.0106,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
B131105E-4A6B-457B-AB8E-355497850B4C,70.37,status,2026-02-04,2024-08-29,206475.0,14530.2,,SF NOV 23,235.0099,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
7BBD7A07-8222-4679-BFCB-36479415E6FA,65.9,status,2026-02-04,2024-08-29,228335.0,15048.2,,SF NOV 23,235.0104,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
71A380AF-4107-4E6E-837C-38BACED706E7,68.0,status,2026-02-04,2024-08-30,165679.0,11266.2,,SF NOV 23,235.0105,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
EDC3B605-56C8-47C1-8FC2-3BD89D95759E,0.18,status,2026-02-04,2024-02-05,34347.0,6.18246,,SF NOV 23,235.0014,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
E9341C8D-BB23-49AB-AFA4-3D90D962DCC7,14.17,status,2026-02-04,2024-06-12,174101.0,2467.79,,SF NOV 23,235.0070,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
CEE575F0-AAEF-44B0-9F74-4148DB14C843,77.52,status,2026-02-04,2024-10-02,176466.0,13679.2,,SF NOV 23,235.0124,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
45038DBC-CE18-4C2B-BF99-4768BC0E66A5,0.18,status,2026-02-04,2024-02-05,35229.0,6.34122,,SF NOV 23,235.0039,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
B6A5D983-D5FB-4B45-889C-4B13D7EDA916,69.33,status,2026-02-04,2024-08-28,206000.0,14282.1,,SF NOV 23,235.0102,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
503357A7-BB6A-4183-97D4-4C52C515DB04,84.42,status,2026-02-04,2024-10-03,205087.0,17312.6,,SF NOV 23,235.0125,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
B2CF9610-2C82-435F-9C59-5122660E399F,0.18,status,2026-02-04,2024-02-05,15371.0,2.76678,,SF NOV 23,235.0021,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
3EA33B84-8730-4BB0-9E81-55400FCA7AE2,52.0,status,2026-02-04,2024-09-03,132071.0,6867.69,,SF NOV 23,235.0109,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
0E76AD1A-5ACB-44D2-B692-57E6E1E13EA2,0.18,status,2026-02-04,2024-02-05,35077.0,6.31386,,SF NOV 23,235.0040,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
9BA04968-C9B0-47CF-B3BB-60D01BD38CBC,0.18,status,2026-02-04,2024-02-05,32497.0,5.84946,,SF NOV 23,235.0030,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
AD508BFB-B09D-40C1-9431-616AF9285FEA,0.18,status,2026-02-04,2024-02-05,31797.0,5.72346,,SF NOV 23,235.0005,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
21CAEE66-BCC2-4B77-B966-62656D0B75EF,0.18,status,2026-02-04,2024-02-05,34478.0,6.20604,,SF NOV 23,235.0013,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
4F344AD5-8310-4F04-A5E7-64D110CFCD30,0.18,status,2026-02-04,2024-02-05,29018.0,5.22324,,SF NOV 23,235.0052,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
EB229D13-7843-4E9E-A3DB-661035646A79,21.35,status,2026-02-04,2024-06-19,153514.0,3277.72,,SF NOV 23,235.0092,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
F59C39AA-F1AC-4534-A092-6634CB40CF8E,0.18,status,2026-02-04,2024-02-05,34258.0,6.16644,,SF NOV 23,235.0015,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
91B3A9DB-FB6C-48E0-9D07-66AB6CB0D546,81.0,status,2026-02-04,2024-09-26,77724.0,6295.64,,SF NOV 23,235.0114,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
5DC0C65E-03D6-4310-8808-6AD0E0F3412B,13.21,status,2026-02-04,2024-06-13,125026.0,1651.76,,SF NOV 23,235.0076,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
55D4CD13-1F7D-4CC2-856C-6C3C4ABF9F57,5.1,status,2026-02-04,2024-05-08,198515.0,1011.98,,SF NOV 23,235.0057,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
DBD11B0E-D148-482B-B41B-712BC480C71D,0.18,status,2026-02-04,2024-02-05,32390.0,5.8302,,SF NOV 23,235.0023,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
93B634CD-9227-4FEA-9684-71E9FE9F63FF,5.16,status,2026-02-04,2024-05-07,182429.0,941.315,,SF NOV 23,235.0064,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
C02BEBD2-76A0-4882-9B55-72E31DC521AE,0.18,status,2026-02-04,2024-02-05,35456.0,6.38208,,SF NOV 23,235.0036,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
65CC8623-2FFE-450F-9B8B-74BE093300AD,82.98,status,2026-02-04,2024-09-24,101638.0,8433.75,,SF NOV 23,235.0081,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
5DD4C43D-C251-453D-869A-7739E5D5F159,7.6,status,2026-02-04,2024-06-12,48881.0,371.496,,SF NOV 23,235.0074,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
64EBB1D1-1E9B-47C6-B6CC-78887623F16A,0.18,status,2026-02-04,2024-02-05,35167.0,6.33006,,SF NOV 23,235.0044,FW,SF NOV 23,EC44DBBA-067D-4B34-89CD-630BAFFC5BE9,SF NOV 23,2023
