batch_id,batch_number,assignment_id,assignment_date,departure_date,is_active,container_name,lifecycle_stage,population_count,biomass_kg,avg_weight_g,notes
464,Bakkafrost S-21 jan 25,62110,2025-01-06,2025-04-02,N,R1,Egg&Alevin,213884,0.00,,FishTalk PopulationID=E79AED6D-7669-4D6E-B28F-1E0AA13C1364
464,Bakkafrost S-21 jan 25,62114,2025-01-06,2025-04-02,N,R2,Egg&Alevin,222503,0.00,,FishTalk PopulationID=A7238509-1A0B-4E29-A1AA-E5FF43BCCA92
464,Bakkafrost S-21 jan 25,62109,2025-01-06,2025-04-02,N,R3,Egg&Alevin,232269,0.00,,FishTalk PopulationID=B52612BD-F18B-48A4-BF21-12B5FC246803
464,Bakkafrost S-21 jan 25,62115,2025-01-06,2025-04-02,N,R4,Egg&Alevin,220565,0.00,,FishTalk PopulationID=F7BB0D9F-0625-4B69-9C8F-FB0B02C6213A
464,Bakkafrost S-21 jan 25,62113,2025-01-06,2025-04-02,N,R5,Egg&Alevin,210756,0.00,,FishTalk PopulationID=AA2FC3F5-E32F-4C96-9B90-B810769D939E
464,Bakkafrost S-21 jan 25,62111,2025-01-06,2025-04-02,N,R6,Egg&Alevin,205836,0.00,,FishTalk PopulationID=46417967-C792-4485-957E-B2F7DAD70000
464,Bakkafrost S-21 jan 25,62112,2025-01-06,2025-04-02,N,R7,Egg&Alevin,195280,0.00,,FishTalk PopulationID=76916E86-5BFA-4562-9019-B4636103E204
464,Bakkafrost S-21 jan 25,62121,2025-04-02,2025-04-02,N,5M 1,Fry,0,0.00,,FishTalk PopulationID=584D5876-FF4D-4FA3-BB38-EBEBD0E0C3F1
464,Bakkafrost S-21 jan 25,62126,2025-04-02,2025-07-07,N,5M 1,Fry,230292,23.03,0.10,FishTalk PopulationID=5A091007-F727-467F-A76F-B5D36AFDE37D
464,Bakkafrost S-21 jan 25,62119,2025-04-02,2025-04-02,N,5M 2,Fry,0,0.00,,FishTalk PopulationID=23CB5D1F-D7C4-4C46-9F6A-ABFF517B44F7
464,Bakkafrost S-21 jan 25,62124,2025-04-02,2025-07-07,N,5M 2,Fry,239126,23.91,0.10,FishTalk PopulationID=E94DCBE0-295B-408F-A0F7-A7ADF6C300C0
464,Bakkafrost S-21 jan 25,62117,2025-04-02,2025-04-02,N,5M 3,Fry,0,0.00,,FishTalk PopulationID=B8725F15-F029-46A7-BA5A-502E671903E6
