General information;;;;;;;;;;;Fish group attributes;;;;;Production stages
Site;Unit;Site group;Input number;Fish group number;Fish group name;Year;Official site ID;Date in year;Original input numbers;Year class;Delivery number;Hatchery;Input size group;Planning group;Year of hatch;Production Stage
S21 Viðareiði;B01;;25.01;25.01.187;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;D2;;25.01;25.01.192;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;A05;;25.03;25.03.027;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;B13;;25.02;25.02.112;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;D7;;25.02;25.02.106;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;5M 1;;25.05;25.05.012;Bakkafrost S-21 okt 25;2026;;13.feb;25.05;2025;;;;;;Fry
S21 Viðareiði;B03;;25.02;25.02.109;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;D1;;25.01;25.01.001;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;B11;;25.03;25.03.029;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;C11;;25.02;25.02.072;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;C12;;25.01;25.01.081;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;D6;;25.01;25.01.133;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;5M 3;;25.05;25.05.011;Bakkafrost S-21 okt 25;2026;;13.feb;25.05;2025;;;;;;Fry
S21 Viðareiði;D5;;25.01;25.01.091;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;5M 6;;25.04;25.04.001;Stofnfiskur S21 okt 25;2026;;13.feb;25.04;2025;;;;;;Fry
S21 Viðareiði;B13;;25.01;25.01.186;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;A01;;25.03;25.03.038;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;D8;;25.02;25.02.105;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;5M 2;;25.05;25.05.013;Bakkafrost S-21 okt 25;2026;;13.feb;25.05;2025;;;;;;Fry
S21 Viðareiði;B10;;25.03;25.03.001;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;D3;;25.01;25.01.142;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;C09;;25.01;25.01.195;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;B07;;25.03;25.03.030;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;5M 5;;25.04;25.04.004;Stofnfiskur S21 okt 25;2026;;13.feb;25.04;2025;;;;;;Fry
S21 Viðareiði;B12;;25.02;25.02.114;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;D4;;25.01;25.01.169;Bakkafrost S-21 jan 25;2026;;13.feb;25.01;2025;;;;;;Fry
S21 Viðareiði;C10;;25.02;25.02.001;StofnFiskur S-21 apr 25;2026;;13.feb;25.02;2025;;;;;;Fry
S21 Viðareiði;B08;;25.03;25.03.040;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
S21 Viðareiði;5M 4;;25.05;25.05.001;Bakkafrost S-21 okt 25;2026;;13.feb;25.05;2025;;;;;;Fry
S21 Viðareiði;B09;;25.03;25.03.039;StofnFiskur S-21 juli25;2026;;13.feb;25.03;2025;;;;;;Fry
;;;;;;;;;;2025;;;;;;Fry
