population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
927573DB-861D-429A-8CBB-483C0A25ACC8,B04,2025-09-09 08:41:47,2025-09-09 08:43:47,Fry,Fry,Parr,2025-09-09 08:41:47,32450,2025-09-09 08:43:47,32450,start,2025-09-09 08:41:47,32450,56431,0,Y,62152,2025-09-09,2025-09-09,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
BBD14C2B-5C9C-4B86-9FC3-BBD3CC676827,B04,2025-09-09 08:43:47,2025-09-12 12:48:39,Fry,Fry,Parr,2025-09-09 08:43:47,63179,2025-09-12 12:48:39,63126,start,2025-09-09 08:43:47,63179,112040,55,Y,62158,2025-09-09,2025-09-12,63179,2180.31,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
A1F30ECC-DAD2-4DCD-B0E6-4857791CB0FC,B04,2025-10-07 14:54:22,2025-10-07 14:55:30,Fry,Fry,Parr,2025-10-07 14:54:22,1773,2025-10-07 14:55:30,1773,start,2025-10-07 14:54:22,1773,3123,0,Y,62171,2025-10-07,2025-10-07,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
4F989FB9-F5DE-41BB-B1E7-22D46144DAD8,B04,2025-10-07 14:55:30,2025-10-07 14:56:43,Fry,Fry,Parr,2025-10-07 14:55:30,3282,2025-10-07 14:56:43,3282,start,2025-10-07 14:55:30,3282,6033,0,Y,62174,2025-10-07,2025-10-07,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
D3972BB3-CCD6-4576-A64C-495BB373B145,B04,2025-10-07 14:56:43,2025-10-07 14:57:53,Fry,Fry,Parr,2025-10-07 14:56:43,13892,2025-10-07 14:57:53,13892,start,2025-10-07 14:56:43,13892,25011,0,Y,62176,2025-10-07,2025-10-07,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
E35800E8-8F02-4194-89D5-513A1FB6B3B6,B04,2025-10-07 14:57:53,2025-10-23 12:39:18,Fry,Fry,Parr,2025-10-07 14:57:53,24987,2025-10-23 12:39:18,25177,start,2025-10-07 14:57:53,24987,44817,40,Y,62180,2025-10-07,2025-10-23,24987,810.08,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
E21EAB05-1644-4083-B629-E5894BAFBE71,B04,2025-10-23 15:09:54,2025-10-24 11:21:17,Fry,Fry,Parr,2025-10-23 15:09:54,31855,2025-10-24 11:21:17,31849,start,2025-10-23 15:09:54,31855,57630,6,Y,62209,2025-10-23,2025-10-24,31855,1433.48,N,Y,Y,Y,Y,Y,N,status_at_start_match
1A80D6E2-6F77-4C48-854A-7C8A7C40FA80,B04,2025-10-24 11:21:17,2025-10-28 09:18:01,Fry,Fry,Parr,2025-10-24 11:21:17,50488,2025-10-28 09:18:01,51655,start,2025-10-24 11:21:17,50488,94357,557,Y,62213,2025-10-24,2025-10-28,50488,2238.13,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
798B4C64-819D-4025-B0D7-261923137988,B04,2025-10-29 09:08:41,2025-11-17 07:56:03,Fry,Fry,Parr,2025-10-29 09:08:41,24344,2025-11-17 07:56:03,24311,start,2025-10-29 09:08:41,24344,47902,10,Y,62218,2025-10-29,2025-11-17,47902,1993.68,N,N,N,N,N,Y,N,conserved_count_applied
63F40878-D768-4279-B313-349FD7FED28A,B04,2025-11-28 14:07:52,2025-12-10 13:29:18,,,Parr,2025-11-28 14:07:52,43862,2025-12-10 13:29:18,43766,start,2025-11-28 14:07:52,43862,74870,79,Y,62225,2025-11-28,2025-12-10,43862,1587.80,N,Y,N,Y,Y,Y,N,blank_token_external_mixing_status_match
21553558-B893-4156-A30E-58561AD6366C,B04,2025-12-11 11:53:49,2026-01-22 12:03:25,,,Parr,2025-12-11 11:53:49,34114,2026-01-22 12:03:25,33497,start,2025-12-11 11:53:49,34114,34669,570,Y,62228,2025-12-11,,34114,779.16,Y,Y,N,Y,Y,Y,N,blank_token_external_mixing_status_match
