Site,Unit,Grouping,Fish group Name,Fish group Number,Start Time,End Time,Activity,Category,Registered by,Registration date
S03 Norðtoftir ,1102,11 Høll A,Stofnfiskur Des 24,24.04.070,06.01.2026 at 09:41:24,06.01.2026 at 09:41:24,Transfer,Stock Logistics Activities,Heini Gregersen,07.01.2026 at 09:44:56
S03 Norðtoftir ,1109,11 Høll B,Stofnfiskur Des 24,24.04.083,07.01.2026 at 15:26:08,07.01.2026 at 15:26:08,Transfer,Stock Logistics Activities,Heini Gregersen,07.01.2026 at 15:29:55
S03 Norðtoftir ,1110,11 Høll B,Stofnfiskur Des 24,24.04.077,09.01.2026 at 09:00:29,09.01.2026 at 09:00:29,Transfer,Stock Logistics Activities,Heini Gregersen,09.01.2026 at 09:04:23
S03 Norðtoftir ,901,900 Høll,AquaGen Mars 25,25.01.045,15.01.2026 at 09:10:57,15.01.2026 at 09:10:57,Transfer,Stock Logistics Activities,Heini Gregersen,16.01.2026 at 09:14:26
S03 Norðtoftir ,902,900 Høll,AquaGen juni 25,25.02.042,29.01.2026 at 15:07:01,29.01.2026 at 15:07:01,Transfer,Stock Logistics Activities,Heini Gregersen,29.01.2026 at 15:09:06
S03 Norðtoftir ,902,900 Høll,AquaGen Mars 25,25.01.044,21.01.2026 at 14:02:49,21.01.2026 at 14:02:49,Transfer,Stock Logistics Activities,Heini Gregersen,21.01.2026 at 14:05:25
S03 Norðtoftir ,903,900 Høll,AquaGen Mars 25,25.01.049,20.01.2026 at 08:30:29,20.01.2026 at 08:30:29,Transfer,Stock Logistics Activities,Heini Gregersen,21.01.2026 at 08:32:18
S03 Norðtoftir ,904,900 Høll,AquaGen Mars 25,25.01.053,16.01.2026 at 15:23:14,16.01.2026 at 15:23:14,Transfer,Stock Logistics Activities,Heini Gregersen,16.01.2026 at 15:25:04
S03 Norðtoftir ,905,900 Høll,AquaGen Mars 25,25.01.063,19.01.2026 at 08:32:04,19.01.2026 at 08:32:04,Transfer,Stock Logistics Activities,Heini Gregersen,20.01.2026 at 08:34:33
S03 Norðtoftir ,906,900 Høll,AquaGen Mars 25,25.01.048,13.01.2026 at 08:32:14,13.01.2026 at 08:32:14,Transfer,Stock Logistics Activities,Heini Gregersen,14.01.2026 at 08:38:13
S03 Norðtoftir ,906,900 Høll,AquaGen Mars 25,25.01.054,13.01.2026 at 08:29:45,13.01.2026 at 08:29:45,Transfer,Stock Logistics Activities,Heini Gregersen,14.01.2026 at 08:31:52
S08 Gjógv,E01,Úti,BF mars 2025,25.02.190,12.01.2026 at 16:26:50,12.01.2026 at 16:26:50,Transfer,Stock Logistics Activities,Kristian J. Joensen,13.01.2026 at 16:28:13
S08 Gjógv,E01,Úti,BF mars 2025,25.02.190,11.01.2026 at 16:30:49,11.01.2026 at 16:30:49,Transfer,Stock Logistics Activities,Kristian J. Joensen,12.01.2026 at 16:33:47
S08 Gjógv,E02,Úti,BF mars 2025,25.02.195,13.01.2026 at 17:07:18,13.01.2026 at 17:07:18,Transfer,Stock Logistics Activities,Kristian J. Joensen,14.01.2026 at 17:08:11
S08 Gjógv,E03,Úti,BF mars 2025,25.02.197,14.01.2026 at 17:41:44,14.01.2026 at 17:41:44,Transfer,Stock Logistics Activities,Kristian J. Joensen,15.01.2026 at 17:43:22
S08 Gjógv,E04,Úti,BF mars 2025,25.02.205,27.01.2026 at 11:21:51,27.01.2026 at 11:21:51,Transfer,Stock Logistics Activities,Kristian J. Joensen,29.01.2026 at 11:24:41
S08 Gjógv,E05,Úti,BF mars 2025,25.02.204,25.01.2026 at 10:13:10,25.01.2026 at 10:13:10,Transfer,Stock Logistics Activities,Kristian J. Joensen,29.01.2026 at 10:16:59
S08 Gjógv,R2,R-Høll,BF mars 2025,25.02.166,12.01.2026 at 10:26:18,12.01.2026 at 10:26:18,Transfer,Stock Logistics Activities,Kristian J. Joensen,13.01.2026 at 10:29:14
S08 Gjógv,R4,R-Høll,BF mars 2025,25.02.200,14.01.2026 at 17:52:06,14.01.2026 at 17:52:06,Transfer,Stock Logistics Activities,Kristian J. Joensen,15.01.2026 at 17:53:56
S08 Gjógv,R4,R-Høll,BF mars 2025,25.02.200,14.01.2026 at 17:46:54,14.01.2026 at 17:46:54,Transfer,Stock Logistics Activities,Kristian J. Joensen,15.01.2026 at 17:48:22
S08 Gjógv,T3,T-Høll,BF mars 2025,25.02.192,13.01.2026 at 17:03:19,13.01.2026 at 17:03:19,Transfer,Stock Logistics Activities,Kristian J. Joensen,14.01.2026 at 17:04:04
S08 Gjógv,T3,T-Høll,BF mars 2025,25.02.192,13.01.2026 at 16:59:13,13.01.2026 at 16:59:13,Transfer,Stock Logistics Activities,Kristian J. Joensen,14.01.2026 at 16:59:56
S16 Glyvradalur,C.17,C Høll,Stofnfiskur mai 2025,25.03.036,02.01.2026 at 15:38:43,02.01.2026 at 15:38:43,Transfer,Stock Logistics Activities,s16soja,02.01.2026 at 15:42:31
S16 Glyvradalur,C01,C Høll,Stofnfiskur feb 2025,25.0A.033,29.01.2026 at 08:37:50,29.01.2026 at 08:37:50,Transfer,Stock Logistics Activities,s16soja,30.01.2026 at 08:39:18
S16 Glyvradalur,C01,C Høll,Stofnfiskur feb 2025,25.0A.033,28.01.2026 at 12:43:11,28.01.2026 at 12:43:11,Transfer,Stock Logistics Activities,s16soja,29.01.2026 at 12:50:03
S16 Glyvradalur,C01,C Høll,Stofnfiskur feb 2025,25.0A.033,21.01.2026 at 09:04:15,21.01.2026 at 09:04:15,Transfer,Stock Logistics Activities,s16soja,22.01.2026 at 09:05:19
S16 Glyvradalur,C03,C Høll,Stofnfiskur feb 2025,25.01.056,09.01.2026 at 15:36:56,09.01.2026 at 15:36:56,Transfer,Stock Logistics Activities,s16soja,09.01.2026 at 15:38:22
S16 Glyvradalur,C04,C Høll,Stofnfiskur mai 2025,25.03.056,23.01.2026 at 20:02:41,23.01.2026 at 20:02:41,Transfer,Stock Logistics Activities,s16hewe,25.01.2026 at 20:08:26
S16 Glyvradalur,C04,C Høll,Stofnfiskur feb 2025,25.0A.042,20.01.2026 at 10:18:45,20.01.2026 at 10:18:45,Transfer,Stock Logistics Activities,s16soja,21.01.2026 at 10:20:17
S16 Glyvradalur,C05,C Høll,Stofnfiskur mai 2025,25.03.053,21.01.2026 at 09:08:04,21.01.2026 at 09:08:04,Transfer,Stock Logistics Activities,s16soja,22.01.2026 at 09:08:41
S16 Glyvradalur,C05,C Høll,Stofnfiskur mai 2025,25.03.042,06.01.2026 at 14:36:48,06.01.2026 at 14:36:48,Transfer,Stock Logistics Activities,s16soja,06.01.2026 at 14:38:39
S16 Glyvradalur,C07,C Høll,Stofnfiskur mai 2025,25.03.051,22.01.2026 at 15:07:57,22.01.2026 at 15:07:57,Transfer,Stock Logistics Activities,s16soja,22.01.2026 at 15:09:24
S16 Glyvradalur,C07,C Høll,Stofnfiskur mai 2025,25.03.051,14.01.2026 at 15:39:04,14.01.2026 at 15:39:04,Transfer,Stock Logistics Activities,s16soja,14.01.2026 at 15:40:43
S16 Glyvradalur,C09,C Høll,Stofnfiskur mai 2025,25.03.057,26.01.2026 at 16:03:12,26.01.2026 at 16:03:12,Transfer,Stock Logistics Activities,s16soja,26.01.2026 at 16:04:24
S16 Glyvradalur,C09,C Høll,Stofnfiskur feb 2025,25.0A.037,21.01.2026 at 09:02:38,21.01.2026 at 09:02:38,Transfer,Stock Logistics Activities,s16soja,22.01.2026 at 09:03:34
S16 Glyvradalur,C10,C Høll,Stofnfiskur feb 2025,25.0A.057,20.01.2026 at 09:00:21,20.01.2026 at 09:00:21,Transfer,Stock Logistics Activities,s16soja,22.01.2026 at 09:02:08
S16 Glyvradalur,C10,C Høll,Stofnfiskur feb 2025,25.0A.057,19.01.2026 at 10:08:05,19.01.2026 at 10:08:05,Transfer,Stock Logistics Activities,s16soja,21.01.2026 at 10:18:21
S16 Glyvradalur,C10,C Høll,Stofnfiskur feb 2025,25.0A.047,09.01.2026 at 09:11:23,09.01.2026 at 09:11:23,Transfer,Stock Logistics Activities,s16soja,12.01.2026 at 09:12:40
S16 Glyvradalur,C10,C Høll,Stofnfiskur feb 2025,25.0A.038,08.01.2026 at 08:38:24,08.01.2026 at 08:38:24,Transfer,Stock Logistics Activities,s16soja,09.01.2026 at 08:39:31
S16 Glyvradalur,C14,C Høll,Stofnfiskur mai 2025,25.03.020,12.01.2026 at 14:02:56,12.01.2026 at 14:02:56,Transfer,Stock Logistics Activities,s16soja,12.01.2026 at 14:05:11
S16 Glyvradalur,C16,C Høll,Stofnfiskur mai 2025,25.03.018,05.01.2026 at 08:42:07,05.01.2026 at 08:42:07,Transfer,Stock Logistics Activities,s16soja,06.01.2026 at 08:44:16
