container_id,container_name,hall,hall_letter,site,start_min,end_max,duration_days,population_count,stage_sequences
EA13DB0C-D664-4768-A638-FC9CE2CD64CD,A01,A Høll,A,S16 Glyvradalur,2024-08-08 16:57:08,2024-10-17 20:57:28,70,1,Egg&Alevin -> Fry
82A5E9D6-1112-404A-B513-B7BC2760A2EB,A17,A Høll,A,S16 Glyvradalur,2024-08-08 16:57:08,2024-10-17 21:03:25,70,1,Egg&Alevin -> Fry
05FC7B06-B956-47A0-B569-A598996477C8,A33,A Høll,A,S16 Glyvradalur,2024-08-08 16:57:08,2024-10-17 21:05:29,70,1,Egg&Alevin -> Fry
A23F0B93-F916-4843-B431-DBCBED7F2057,A49,A Høll,A,S16 Glyvradalur,2024-08-08 16:57:08,2024-10-17 21:10:29,70,1,Egg&Alevin -> Fry
2524AFFD-9A4E-4D2C-A287-4A556D4B174D,A65,A Høll,A,S16 Glyvradalur,2024-08-08 16:57:08,2024-10-17 21:12:16,70,1,Egg&Alevin -> Fry
3E702CD5-C6E4-42A1-9E65-52223ACA8BF7,B01,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-24 09:01:01,43,1,Fry
25076E68-8B80-418B-BC15-9A94F2483D59,B02,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-24 09:01:01,43,1,Fry
E4D09445-B0F5-4708-A337-245D1FFF9183,B03,B Høll,B,S16 Glyvradalur,2024-12-13 15:38:55,2025-01-25 09:10:07,42,1,Fry
86F8182E-8993-4C8F-993F-8561E9C1A27D,B04,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-25 09:10:07,44,2,Fry
FA4D1CCA-7FEB-42A1-AA18-69581F9D6D70,B05,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-25 09:10:07,44,2,Fry
038019A0-0CB1-471B-BC46-819E2FD03D3E,B06,B Høll,B,S16 Glyvradalur,2024-12-13 15:38:55,2025-01-26 09:17:48,43,1,Fry
D43AB4C4-351A-4F1E-A39F-A52EB7191603,B07,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-26 09:17:48,45,1,Fry
E3399BF6-0880-44F2-BCCB-DD5B4868B72C,B08,B Høll,B,S16 Glyvradalur,2024-12-11 12:00:37,2025-01-26 09:17:48,45,1,Fry
4083C085-62D9-407C-979D-5B3DD849C9FD,C. 18,C Høll,C,S16 Glyvradalur,2025-03-27 18:38:24,2025-06-17 10:07:39,81,4,Fry
275243E0-C6F5-46F8-B7C2-B9B43B44176A,C.17,C Høll,C,S16 Glyvradalur,2025-03-24 08:44:39,2025-06-16 08:31:34,83,6,Fry
34E3221B-1BA8-4B26-B85B-ACB6EFBA153F,C01,C Høll,C,S16 Glyvradalur,2025-04-30 11:55:30,2025-07-16 12:23:26,77,3,Fry
8DD2197A-16CD-4483-B715-074EC9FAF8EC,C02,C Høll,C,S16 Glyvradalur,2025-04-02 14:22:29,2025-08-14 14:23:28,134,10,Fry
7ADA5D59-255D-42AE-89CA-060DAA29EB5C,C03,C Høll,C,S16 Glyvradalur,2025-04-30 11:55:30,2025-07-14 16:22:08,75,5,Fry
67E5E170-462D-400C-BCCF-438698B93A59,C04,C Høll,C,S16 Glyvradalur,2025-05-02 20:57:35,2025-07-07 08:26:33,65,3,Fry
E4405E3D-0E5D-4F35-9979-2827D70CEFE7,C05,C Høll,C,S16 Glyvradalur,2025-01-25 09:10:07,2025-04-15 14:31:28,80,4,Fry
B38CBCB9-F003-4D69-9071-0EB4DEAB9B62,C06,C Høll,C,S16 Glyvradalur,2025-01-25 09:10:07,2025-05-01 10:41:47,96,4,Fry
76144452-16D0-4C89-8A8A-C30F5D288A74,C07,C Høll,C,S16 Glyvradalur,2025-01-26 09:17:48,2025-04-30 12:02:38,94,3,Fry
8EE49EF8-0516-4A59-AD51-A47053455E5F,C08,C Høll,C,S16 Glyvradalur,2025-01-24 09:01:01,2025-04-14 15:00:31,80,4,Fry
BE7EC9E2-D7C7-4FFC-9C5B-3DBE70FD5305,C09,C Høll,C,S16 Glyvradalur,2025-05-01 10:41:47,2025-07-17 14:33:57,77,14,Fry
7F8C66B6-18E6-433D-8F13-A6BD3EC7EF45,C10,C Høll,C,S16 Glyvradalur,2025-05-12 15:50:54,2025-08-08 15:26:00,87,12,Fry
34234C07-AB9A-4168-921A-5A915FC5FDE5,C11,C Høll,C,S16 Glyvradalur,2025-03-27 18:38:24,2025-07-17 09:02:49,111,6,Fry
01E67691-0052-4096-80F6-8BDA37D87043,C12,C Høll,C,S16 Glyvradalur,2025-03-24 08:44:39,2025-07-07 08:24:45,104,7,Fry
5F6D489B-5AF2-4589-8664-374DB83CE810,C13,C Høll,C,S16 Glyvradalur,2025-01-24 09:01:01,2025-05-03 21:00:52,99,7,Fry
09B3DC8E-6969-4617-93D3-0C0ACAB1D296,C14,C Høll,C,S16 Glyvradalur,2025-01-24 09:01:01,2025-05-03 21:00:52,99,3,Fry
C28A6753-2AB9-44BF-A87C-4C789A0C05CF,C15,C Høll,C,S16 Glyvradalur,2025-01-25 09:10:07,2025-04-02 14:22:29,67,2,Fry
FD79CDDF-25EE-4755-B91B-90245F506E24,C16,C Høll,C,S16 Glyvradalur,2025-01-25 09:10:07,2025-04-02 18:30:44,67,2,Fry
A149E1A7-5A9B-4993-88B0-CEAD2E7C9A28,D01,D Høll,D,S16 Glyvradalur,2025-06-30 10:42:03,2025-09-09 11:31:00,71,4,Fry
B35798D6-0CEC-4877-AE42-22701F31DEF4,D02,D Høll,D,S16 Glyvradalur,2025-06-10 22:02:35,2025-08-11 09:05:56,61,7,Fry
1C86F107-5D9C-405A-BEFE-8357A3C01352,D03,D Høll,D,S16 Glyvradalur,2025-07-14 16:22:08,2025-10-02 12:00:05,79,8,Fry
F3BEDB42-63AC-4C52-BFF1-5B072CADC864,D04,D Høll,D,S16 Glyvradalur,2025-08-04 09:17:49,2025-10-09 15:57:24,66,3,Fry
A8588434-EC8A-48D5-A7BB-9CB1AE614928,E01,E1 Høll,E,S16 Glyvradalur,2025-09-09 11:31:00,2025-11-14 14:42:48,66,1,Fry
FC172B8F-B999-468E-A079-A0E9380D1E13,E02,E1 Høll,E,S16 Glyvradalur,2025-08-11 09:05:56,2025-11-15 12:22:57,96,1,Fry
A8D42A0F-9BDE-4EF9-BFE9-B2A6FED2F91B,E03,E1 Høll,E,S16 Glyvradalur,2025-09-09 11:31:00,2025-11-16 09:58:50,67,3,Fry
3783BBEC-FBF4-4894-9C26-18D02559FB87,E04,E1 Høll,E,S16 Glyvradalur,2025-08-11 09:05:56,2025-11-17 12:28:35,98,3,Fry
4CE72C8A-9115-4EFF-AE82-88CEBF27C4D3,E05,E2 Høll,E,S16 Glyvradalur,2025-10-02 12:00:05,2025-12-12 05:32:50,70,1,Fry
EBF0F34D-40F7-4D69-8EAC-ECE71F5CB499,E06,E2 Høll,E,S16 Glyvradalur,2025-10-02 12:00:05,2025-12-11 01:59:10,69,1,Fry
B64B9CB2-A0E0-442C-9A51-E943A338F71E,E07,E2 Høll,E,S16 Glyvradalur,2025-10-09 15:57:24,2025-12-28 15:20:36,79,1,Fry
25C6068A-E480-45C9-8CC2-AAE6F566354C,E08,E2 Høll,E,S16 Glyvradalur,2025-10-02 12:00:05,2025-12-29 16:00:56,88,2,Fry
BAD832BD-9729-4EDD-80EC-A00BE4E006A0,I01,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:03:25,2024-12-11 12:00:37,54,1,Fry
CB1BB312-145C-4878-B448-18B1F1653F04,I02,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:03:25,2024-12-11 12:00:37,54,1,Fry
42CD3CD3-B497-4CDF-B9E6-7C6C2BE1509B,I03,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:03:25,2024-12-11 12:00:37,54,1,Fry
63346CF8-B91F-4A5D-B41F-1578FD25CF43,I04,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:03:25,2024-12-11 12:00:37,54,1,Fry
855E0A03-1A47-4725-81C1-100EDBC3C653,I05,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:03:25,2024-12-11 12:00:37,54,1,Fry
8621B7EE-63F8-4823-A68B-22F51BAEE711,I06,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
6E371B1D-3A31-468C-AE24-06ED41FC769E,I07,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
C2094BD3-5967-4C78-99BB-7F72ED32A6E6,I08,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
4D974857-51DE-4E7A-80D1-BD62BFB164DB,I09,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
F367984E-D9A4-4A81-9B52-DEE0F8A8990B,I10,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
34C11572-189C-4509-AAD0-4E03B2FB7A63,I11,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 21:05:29,2024-12-11 12:00:37,54,1,Fry
361B7198-8284-48B5-8E21-BF4CD5E45B55,I13,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,54,1,Fry
0C0B02FC-6BF9-4835-8F69-2A04422A39B2,I14,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,54,1,Fry
A63A91AB-1B4B-4443-BD23-E1266FDF4A7E,I15,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,54,1,Fry
0E8ED525-E774-454C-86BD-993C96BC51E6,I16,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,54,1,Fry
B1D5A303-4202-45E6-BB96-65080F3908C2,I17,Startfóðringshøll,S,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,54,1,Fry
