population_id,input_name,input_number,year_class,input_project_id,input_project_name,fishgroup,population_name,container_id,container_name,container_group,hall_letter,site,site_group,prod_stage,org_unit_name,start_time,end_time,end_time_effective,end_time_source,stage_first,stage_last,stage_event_count,stage_sources,station_match
0334BFCC-8454-456A-AB5A-1986D77ECF90,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0131,Stofnfiskur Aug 2024,34234C07-AB9A-4168-921A-5A915FC5FDE5,C11,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-05-12 15:52:20,2025-06-18 16:38:34,2025-06-18 16:38:34,source,Fry,Fry,1,population_stages,yes
04CD3ED2-FDEF-47B4-8440-4E90FB3E177E,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0083,Stofnfiskur Aug 2024,76144452-16D0-4C89-8A8A-C30F5D288A74,C07,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-04-01 15:24:05,2025-04-02 14:22:29,2025-04-02 14:22:29,source,Fry,Fry,1,population_stages,yes
06F2AE4A-E0F3-43EE-8A2A-9D80C50AB516,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0103,Stofnfiskur Aug 2024,01E67691-0052-4096-80F6-8BDA37D87043,C12,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-03-26 15:58:32,2025-05-12 15:50:54,2025-05-12 15:50:54,source,Fry,Fry,1,population_stages,yes
0A018B0E-C4FC-45CC-A533-F1EABFE9BCF4,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0023,Stofnfiskur Aug 2024,2E2F8B34-2B51-46FC-BE69-7D4CCECAB819,I27,Startfóðringshøll,S,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2024-10-17 21:05:29,2024-10-17 21:10:29,2024-10-17 21:10:29,source,Fry,Fry,1,population_stages,yes
0AB98428-A715-4B3D-8343-60068D3BE3AB,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0134,Stofnfiskur Aug 2024,8DD2197A-16CD-4483-B715-074EC9FAF8EC,C02,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-06-18 16:39:34,2025-07-02 10:15:56,2025-07-02 10:15:56,source,Fry,Fry,1,population_stages,yes
0BFE55AF-59B8-42AD-8B58-D53A3F0DB738,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0009,Stofnfiskur Aug 2024,6725846B-B1FD-4475-9B65-7FC7EF87F3AA,I19,Startfóðringshøll,S,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,2024-12-11 12:00:37,source,Fry,Fry,1,population_stages,yes
0D0F5990-FCD4-4167-BC6F-208F9D21550A,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0168,Stofnfiskur Aug 2024,1C86F107-5D9C-405A-BEFE-8357A3C01352,D03,D Høll,D,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-08-11 09:05:56,2025-09-09 11:31:00,2025-09-09 11:31:00,source,Fry,Fry,1,population_stages,yes
10BC61BE-9BD5-4FC7-8BF5-AA5EACE58C2F,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0008,Stofnfiskur Aug 2024,361B7198-8284-48B5-8E21-BF4CD5E45B55,I13,Startfóðringshøll,S,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2024-10-17 20:57:28,2024-12-11 12:00:37,2024-12-11 12:00:37,source,Fry,Fry,1,population_stages,yes
111D11E4-7D28-4FBD-8606-626CA0502794,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0033,Stofnfiskur Aug 2024,3B8105C6-59FC-48CD-BE07-D2BE5BC5A9ED,I25,Startfóðringshøll,S,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2024-10-17 21:10:29,2024-12-13 15:38:55,2024-12-13 15:38:55,source,Fry,Fry,1,population_stages,yes
11D3D66A-D5BB-4C78-B363-B6C04D2425B1,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0089,Stofnfiskur Aug 2024,8DD2197A-16CD-4483-B715-074EC9FAF8EC,C02,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-06-11 22:26:49,2025-06-12 22:28:26,2025-06-12 22:28:26,source,Fry,Fry,1,population_stages,yes
122930F9-B01E-4D9B-BDF0-F7AF94B38948,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0171,Stofnfiskur Aug 2024,F3BEDB42-63AC-4C52-BFF1-5B072CADC864,D04,D Høll,D,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-08-14 14:23:28,2025-10-09 15:57:24,2025-10-09 15:57:24,source,Fry,Fry,1,population_stages,yes
139A95F2-7EAC-4412-A8A8-D43541D5185D,Stofnfiskur Aug 2024,4,24,AEEDBACC-168E-454E-9C7C-84FAE328D604,Stofnfiskur Aug 2024,244.0095,Stofnfiskur Aug 2024,7ADA5D59-255D-42AE-89CA-060DAA29EB5C,C03,C Høll,C,S16 Glyvradalur,,Hatchery,S16 Glyvradalur,2025-04-30 11:55:30,2025-04-30 12:02:38,2025-04-30 12:02:38,source,Fry,Fry,1,population_stages,yes
