population_id,stage_name,lifecycle_stage,stage_start,stage_end,duration_days,sources,container_name,container_group,site,fishgroup
1CF82023-7872-4175-BA21-79588B42B8D2,Fry,Fry,2025-06-30 10:42:03,2025-07-02 10:15:56,1,population_stages,D01,D Høll,S16 Glyvradalur,244.0135
BFE449CF-5248-49A7-8ED3-48F1505B0862,Fry,Fry,2025-07-14 16:22:08,2025-07-15 08:55:03,0,population_stages,D03,D Høll,S16 Glyvradalur,244.0149
6E9803A3-3115-46E4-855B-322E9DE13AF3,Fry,Fry,2025-08-07 11:23:16,2025-08-14 14:23:28,7,population_stages,D04,D Høll,S16 Glyvradalur,244.0165
E975A5CF-424A-4A12-BAF5-48923F0BE78A,Fry,Fry,2025-03-26 15:58:32,2025-03-27 18:38:24,1,population_stages,C.17,C Høll,S16 Glyvradalur,244.0071
C38AC9BF-A625-4D7A-BEF9-130D76FA77F5,Fry,Fry,2025-01-26 09:17:48,2025-03-26 15:58:32,59,population_stages,C07,C Høll,S16 Glyvradalur,244.0069
8FAD9C4D-4702-41BF-B0DE-2ADD3AB47B09,Fry,Fry,2025-04-30 12:02:38,2025-07-15 08:55:03,75,population_stages,C01,C Høll,S16 Glyvradalur,244.0151
5B33B2C4-8002-4ECB-B32E-5B0C14B14458,Fry,Fry,2024-12-11 12:00:37,2025-01-24 09:01:01,43,population_stages,B01,B Høll,S16 Glyvradalur,244.0041
8B1B8DED-0A76-455C-9D17-4C9C7C520A39,Fry,Fry,2025-06-14 22:38:22,2025-06-30 10:42:03,15,population_stages,C09,C Høll,S16 Glyvradalur,244.0128
74B1DECE-B23D-4980-95CF-B0B0C079070C,Fry,Fry,2024-10-17 20:57:28,2024-12-11 12:00:37,54,population_stages,I18,Startfóðringshøll,S16 Glyvradalur,244.0010
15A6DBD2-F622-402B-A141-B4C83B85097F,Fry,Fry,2025-03-27 18:38:24,2025-03-31 15:40:45,3,population_stages,C. 18,C Høll,S16 Glyvradalur,244.0075
D1D52669-5BC8-4BBB-9A54-BBB9ACB0D13C,Fry,Fry,2024-12-11 12:00:37,2025-01-26 09:17:48,45,population_stages,B07,B Høll,S16 Glyvradalur,244.0044
84171996-D96F-4C4A-8ABA-E2185D6393E5,Fry,Fry,2025-04-02 14:22:29,2025-04-02 18:30:44,0,population_stages,C02,C Høll,S16 Glyvradalur,244.0086
37BA5633-7FA3-404A-9CAD-434D4B895B30,Fry,Fry,2025-04-01 15:24:05,2025-05-12 15:52:20,41,population_stages,C11,C Høll,S16 Glyvradalur,244.0105
5E4BF930-28C1-4D0B-BAE2-942FA97AC71A,Fry,Fry,2025-07-16 12:23:26,2025-07-16 15:38:10,0,population_stages,D03,D Høll,S16 Glyvradalur,244.0154
B533F24D-BAAD-4531-B226-ACC2C246FDB0,Fry,Fry,2025-03-25 13:40:17,2025-03-26 15:58:32,1,population_stages,C.17,C Høll,S16 Glyvradalur,244.0067
FAE28FA4-74F6-4DAE-829D-017DD7FF95AE,Fry,Fry,2025-08-04 09:17:49,2025-08-07 11:23:16,3,population_stages,D04,D Høll,S16 Glyvradalur,244.0164
D97A83F4-AEAD-474E-A53B-D288679C7E55,Fry,Fry,2025-04-02 14:22:29,2025-04-30 12:02:38,27,population_stages,C07,C Høll,S16 Glyvradalur,244.0085
412DE667-3808-4B79-8F8C-232EC3C5B638,Fry,Fry,2024-10-17 21:10:29,2024-12-13 15:38:55,56,population_stages,I24,Startfóðringshøll,S16 Glyvradalur,244.0034
BF755748-5730-4506-94EA-2A4CC0495792,Fry,Fry,2024-10-17 20:57:28,2024-12-11 12:00:37,54,population_stages,I20,Startfóðringshøll,S16 Glyvradalur,244.0013
4DBFED23-497C-448A-B7F4-66FC1C257C14,Fry,Fry,2025-03-26 15:58:32,2025-03-27 18:38:24,1,population_stages,C13,C Høll,S16 Glyvradalur,244.0072
EE4D741A-ED75-4749-B8FE-F97521C50025,Fry,Fry,2025-07-04 08:16:03,2025-07-05 08:18:04,1,population_stages,C09,C Høll,S16 Glyvradalur,244.0140
