======================= Schemathesis test session starts =======================
Schema location: file:///home/runner/work/AquaMind/AquaMind/api/openapi.yaml
Base URL: http://127.0.0.1:8000
Specification version: Open API 3.0.3
Workers: 1
Collected API operations: 392
Collected API links: 0
API probing: ...API probing: SUCCESS
Schema analysis: ...Schema analysis: SKIP

POST /api/v1/auth/token/ .                                                [  0%]
GET /api/v1/auth/dev-auth/ .                                              [  0%]
GET /api/v1/environmental/parameters/ .                                   [  0%]
POST /api/v1/environmental/parameters/ .                                  [  1%]
PUT /api/v1/environmental/parameters/{id}/ F                              [  1%]
GET /api/v1/environmental/parameters/{id}/ F                              [  1%]
PATCH /api/v1/environmental/parameters/{id}/ F                            [  1%]
DELETE /api/v1/environmental/parameters/{id}/ F                           [  2%]
GET /api/v1/environmental/readings/ .                                     [  2%]
POST /api/v1/environmental/readings/ .                                    [  2%]
GET /api/v1/environmental/readings/recent/ F                              [  2%]
GET /api/v1/environmental/readings/stats/ F                               [  3%]
PUT /api/v1/environmental/readings/{id}/ F                                [  3%]
GET /api/v1/environmental/readings/{id}/ F                                [  3%]
PATCH /api/v1/environmental/readings/{id}/ F                              [  3%]
DELETE /api/v1/environmental/readings/{id}/ F                             [  4%]
GET /api/v1/environmental/photoperiod/ .                                  [  4%]
POST /api/v1/environmental/photoperiod/ .                                 [  4%]
PUT /api/v1/environmental/photoperiod/{id}/ F                             [  4%]
GET /api/v1/environmental/photoperiod/{id}/ F                             [  5%]
PATCH /api/v1/environmental/photoperiod/{id}/ F                           [  5%]
DELETE /api/v1/environmental/photoperiod/{id}/ F                          [  5%]
GET /api/v1/environmental/weather/ .                                      [  5%]
POST /api/v1/environmental/weather/ .                                     [  6%]
GET /api/v1/environmental/weather/recent/ F                               [  6%]
PUT /api/v1/environmental/weather/{id}/ F                                 [  6%]
GET /api/v1/environmental/weather/{id}/ F                                 [  6%]
PATCH /api/v1/environmental/weather/{id}/ F                               [  7%]
DELETE /api/v1/environmental/weather/{id}/ F                              [  7%]
GET /api/v1/environmental/stage-transitions/ F                            [  7%]
POST /api/v1/environmental/stage-transitions/ .                           [  7%]
PUT /api/v1/environmental/stage-transitions/{id}/ F                       [  8%]
GET /api/v1/environmental/stage-transitions/{id}/ F                       [  8%]
PATCH /api/v1/environmental/stage-transitions/{id}/ F                     [  8%]
DELETE /api/v1/environmental/stage-transitions/{id}/ F                    [  8%]
GET /api/v1/batch/species/ .                                              [  9%]
POST /api/v1/batch/species/ .                                             [  9%]
PUT /api/v1/batch/species/{id}/ F                                         [  9%]
GET /api/v1/batch/species/{id}/ F                                         [  9%]
PATCH /api/v1/batch/species/{id}/ F                                       [ 10%]
DELETE /api/v1/batch/species/{id}/ F                                      [ 10%]
GET /api/v1/batch/lifecycle-stages/ .                                     [ 10%]
POST /api/v1/batch/lifecycle-stages/ .                                    [ 10%]
PUT /api/v1/batch/lifecycle-stages/{id}/ F                                [ 11%]
GET /api/v1/batch/lifecycle-stages/{id}/ F                                [ 11%]
PATCH /api/v1/batch/lifecycle-stages/{id}/ F                              [ 11%]
DELETE /api/v1/batch/lifecycle-stages/{id}/ F                             [ 11%]
GET /api/v1/batch/batches/ .                                              [ 12%]
POST /api/v1/batch/batches/ .                                             [ 12%]
GET /api/v1/batch/batches/compare/ F                                      [ 12%]
PUT /api/v1/batch/batches/{id}/ F                                         [ 13%]
GET /api/v1/batch/batches/{id}/ F                                         [ 13%]
PATCH /api/v1/batch/batches/{id}/ F                                       [ 13%]
DELETE /api/v1/batch/batches/{id}/ F                                      [ 13%]
GET /api/v1/batch/batches/{id}/growth_analysis/ F                         [ 14%]
GET /api/v1/batch/batches/{id}/performance_metrics/ F                     [ 14%]
GET /api/v1/batch/container-assignments/ .                                [ 14%]
POST /api/v1/batch/container-assignments/ .                               [ 14%]
PUT /api/v1/batch/container-assignments/{id}/ F                           [ 15%]
GET /api/v1/batch/container-assignments/{id}/ F                           [ 15%]
PATCH /api/v1/batch/container-assignments/{id}/ F                         [ 15%]
DELETE /api/v1/batch/container-assignments/{id}/ F                        [ 15%]
GET /api/v1/batch/batch-compositions/ .                                   [ 16%]
POST /api/v1/batch/batch-compositions/ .                                  [ 16%]
PUT /api/v1/batch/batch-compositions/{id}/ F                              [ 16%]
GET /api/v1/batch/batch-compositions/{id}/ F                              [ 16%]
PATCH /api/v1/batch/batch-compositions/{id}/ F                            [ 17%]
DELETE /api/v1/batch/batch-compositions/{id}/ F                           [ 17%]
GET /api/v1/batch/transfers/ .                                            [ 17%]
POST /api/v1/batch/transfers/ .                                           [ 17%]
PUT /api/v1/batch/transfers/{id}/ F                                       [ 18%]
GET /api/v1/batch/transfers/{id}/ F                                       [ 18%]
PATCH /api/v1/batch/transfers/{id}/ F                                     [ 18%]
DELETE /api/v1/batch/transfers/{id}/ F                                    [ 18%]
GET /api/v1/batch/mortality-events/ .                                     [ 19%]
POST /api/v1/batch/mortality-events/ .                                    [ 19%]
PUT /api/v1/batch/mortality-events/{id}/ F                                [ 19%]
GET /api/v1/batch/mortality-events/{id}/ F                                [ 19%]
PATCH /api/v1/batch/mortality-events/{id}/ F                              [ 20%]
DELETE /api/v1/batch/mortality-events/{id}/ F                             [ 20%]
GET /api/v1/batch/growth-samples/ .                                       [ 20%]
POST /api/v1/batch/growth-samples/ F                                      [ 20%]
PUT /api/v1/batch/growth-samples/{id}/ F                                  [ 21%]
GET /api/v1/batch/growth-samples/{id}/ F                                  [ 21%]
PATCH /api/v1/batch/growth-samples/{id}/ F                                [ 21%]
DELETE /api/v1/batch/growth-samples/{id}/ F                               [ 21%]
GET /api/v1/inventory/feeds/ .                                            [ 22%]
POST /api/v1/inventory/feeds/ .                                           [ 22%]
PUT /api/v1/inventory/feeds/{id}/ F                                       [ 22%]
GET /api/v1/inventory/feeds/{id}/ F                                       [ 22%]
PATCH /api/v1/inventory/feeds/{id}/ F                                     [ 23%]
DELETE /api/v1/inventory/feeds/{id}/ F                                    [ 23%]
GET /api/v1/inventory/feed-purchases/ .                                   [ 23%]
POST /api/v1/inventory/feed-purchases/ .                                  [ 23%]
PUT /api/v1/inventory/feed-purchases/{id}/ F                              [ 24%]
GET /api/v1/inventory/feed-purchases/{id}/ F                              [ 24%]
PATCH /api/v1/inventory/feed-purchases/{id}/ F                            [ 24%]
DELETE /api/v1/inventory/feed-purchases/{id}/ F                           [ 25%]
GET /api/v1/inventory/feed-stocks/ F                                      [ 25%]
POST /api/v1/inventory/feed-stocks/ .                                     [ 25%]
GET /api/v1/inventory/feed-stocks/low_stock/ F                            [ 25%]
PUT /api/v1/inventory/feed-stocks/{id}/ F                                 [ 26%]
GET /api/v1/inventory/feed-stocks/{id}/ F                                 [ 26%]
PATCH /api/v1/inventory/feed-stocks/{id}/ F                               [ 26%]
DELETE /api/v1/inventory/feed-stocks/{id}/ F                              [ 26%]
GET /api/v1/inventory/feeding-events/ .                                   [ 27%]
POST /api/v1/inventory/feeding-events/ .                                  [ 27%]
GET /api/v1/inventory/feeding-events/by_batch/ F                          [ 27%]
PUT /api/v1/inventory/feeding-events/{id}/ F                              [ 27%]
GET /api/v1/inventory/feeding-events/{id}/ F                              [ 28%]
PATCH /api/v1/inventory/feeding-events/{id}/ F                            [ 28%]
DELETE /api/v1/inventory/feeding-events/{id}/ F                           [ 28%]
GET /api/v1/inventory/batch-feeding-summaries/ .                          [ 28%]
GET /api/v1/inventory/batch-feeding-summaries/by_batch/ F                 [ 29%]
POST /api/v1/inventory/batch-feeding-summaries/generate/ .                [ 29%]
GET /api/v1/inventory/batch-feeding-summaries/{id}/ F                     [ 29%]
GET /api/v1/inventory/feed-container-stock/ .                             [ 29%]
POST /api/v1/inventory/feed-container-stock/ .                            [ 30%]
POST /api/v1/inventory/feed-container-stock/add_to_container/ .           [ 30%]
GET /api/v1/inventory/feed-container-stock/by_container/ F                [ 30%]
GET /api/v1/inventory/feed-container-stock/fifo_order/ F                  [ 30%]
PUT /api/v1/inventory/feed-container-stock/{id}/ F                        [ 31%]
GET /api/v1/inventory/feed-container-stock/{id}/ F                        [ 31%]
PATCH /api/v1/inventory/feed-container-stock/{id}/ F                      [ 31%]
DELETE /api/v1/inventory/feed-container-stock/{id}/ F                     [ 31%]
GET /api/v1/health/journal-entries/ F                                     [ 32%]
POST /api/v1/health/journal-entries/ .                                    [ 32%]
PUT /api/v1/health/journal-entries/{id}/ F                                [ 32%]
GET /api/v1/health/journal-entries/{id}/ F                                [ 32%]
PATCH /api/v1/health/journal-entries/{id}/ F                              [ 33%]
DELETE /api/v1/health/journal-entries/{id}/ F                             [ 33%]
GET /api/v1/health/mortality-reasons/ .                                   [ 33%]
POST /api/v1/health/mortality-reasons/ .                                  [ 33%]
PUT /api/v1/health/mortality-reasons/{id}/ F                              [ 34%]
GET /api/v1/health/mortality-reasons/{id}/ F                              [ 34%]
PATCH /api/v1/health/mortality-reasons/{id}/ F                            [ 34%]
DELETE /api/v1/health/mortality-reasons/{id}/ F                           [ 34%]
GET /api/v1/health/mortality-records/ .                                   [ 35%]
POST /api/v1/health/mortality-records/ .                                  [ 35%]
PUT /api/v1/health/mortality-records/{id}/ F                              [ 35%]
GET /api/v1/health/mortality-records/{id}/ F                              [ 35%]
PATCH /api/v1/health/mortality-records/{id}/ F                            [ 36%]
DELETE /api/v1/health/mortality-records/{id}/ F                           [ 36%]
GET /api/v1/health/lice-counts/ F                                         [ 36%]
POST /api/v1/health/lice-counts/ .                                        [ 36%]
PUT /api/v1/health/lice-counts/{id}/ F                                    [ 37%]
GET /api/v1/health/lice-counts/{id}/ F                                    [ 37%]
PATCH /api/v1/health/lice-counts/{id}/ F                                  [ 37%]
DELETE /api/v1/health/lice-counts/{id}/ F                                 [ 38%]
GET /api/v1/health/vaccination-types/ .                                   [ 38%]
POST /api/v1/health/vaccination-types/ .                                  [ 38%]
PUT /api/v1/health/vaccination-types/{id}/ F                              [ 38%]
GET /api/v1/health/vaccination-types/{id}/ F                              [ 39%]
PATCH /api/v1/health/vaccination-types/{id}/ F                            [ 39%]
DELETE /api/v1/health/vaccination-types/{id}/ F                           [ 39%]
GET /api/v1/health/treatments/ .                                          [ 39%]
POST /api/v1/health/treatments/ .                                         [ 40%]
PUT /api/v1/health/treatments/{id}/ F                                     [ 40%]
GET /api/v1/health/treatments/{id}/ F                                     [ 40%]
PATCH /api/v1/health/treatments/{id}/ F                                   [ 40%]
DELETE /api/v1/health/treatments/{id}/ F                                  [ 41%]
GET /api/v1/health/sample-types/ F                                        [ 41%]
POST /api/v1/health/sample-types/ .                                       [ 41%]
PUT /api/v1/health/sample-types/{id}/ F                                   [ 41%]
GET /api/v1/health/sample-types/{id}/ F                                   [ 42%]
PATCH /api/v1/health/sample-types/{id}/ F                                 [ 42%]
DELETE /api/v1/health/sample-types/{id}/ F                                [ 42%]
GET /api/v1/health/health-parameters/ F                                   [ 42%]
POST /api/v1/health/health-parameters/ .                                  [ 43%]
PUT /api/v1/health/health-parameters/{id}/ F                              [ 43%]
GET /api/v1/health/health-parameters/{id}/ F                              [ 43%]
PATCH /api/v1/health/health-parameters/{id}/ F                            [ 43%]
DELETE /api/v1/health/health-parameters/{id}/ F                           [ 44%]
GET /api/v1/health/health-sampling-events/ .                              [ 44%]
POST /api/v1/health/health-sampling-events/ .                             [ 44%]
PUT /api/v1/health/health-sampling-events/{id}/ F                         [ 44%]
GET /api/v1/health/health-sampling-events/{id}/ F                         [ 45%]
PATCH /api/v1/health/health-sampling-events/{id}/ F                       [ 45%]
DELETE /api/v1/health/health-sampling-events/{id}/ F                      [ 45%]
POST /api/v1/health/health-sampling-events/{id}/calculate-aggregat[...] F [ 45%]
GET /api/v1/health/individual-fish-observations/ .                        [ 46%]
POST /api/v1/health/individual-fish-observations/ .                       [ 46%]
PUT /api/v1/health/individual-fish-observations/{id}/ F                   [ 46%]
GET /api/v1/health/individual-fish-observations/{id}/ F                   [ 46%]
PATCH /api/v1/health/individual-fish-observations/{id}/ F                 [ 47%]
DELETE /api/v1/health/individual-fish-observations/{id}/ F                [ 47%]
GET /api/v1/health/fish-parameter-scores/ .                               [ 47%]
POST /api/v1/health/fish-parameter-scores/ .                              [ 47%]
PUT /api/v1/health/fish-parameter-scores/{id}/ F                          [ 48%]
GET /api/v1/health/fish-parameter-scores/{id}/ F                          [ 48%]
PATCH /api/v1/health/fish-parameter-scores/{id}/ F                        [ 48%]
DELETE /api/v1/health/fish-parameter-scores/{id}/ F                       [ 48%]
GET /api/v1/health/health-lab-samples/ .                                  [ 49%]
POST /api/v1/health/health-lab-samples/ .                                 [ 49%]
PUT /api/v1/health/health-lab-samples/{id}/ F                             [ 49%]
GET /api/v1/health/health-lab-samples/{id}/ F                             [ 50%]
PATCH /api/v1/health/health-lab-samples/{id}/ F                           [ 50%]
DELETE /api/v1/health/health-lab-samples/{id}/ F                          [ 50%]
GET /api/v1/broodstock/maintenance-tasks/ F                               [ 50%]
POST /api/v1/broodstock/maintenance-tasks/ .                              [ 51%]
GET /api/v1/broodstock/maintenance-tasks/overdue/ F                       [ 51%]
PUT /api/v1/broodstock/maintenance-tasks/{id}/ F                          [ 51%]
GET /api/v1/broodstock/maintenance-tasks/{id}/ F                          [ 51%]
PATCH /api/v1/broodstock/maintenance-tasks/{id}/ F                        [ 52%]
DELETE /api/v1/broodstock/maintenance-tasks/{id}/ F                       [ 52%]
POST /api/v1/broodstock/maintenance-tasks/{id}/complete/ F                [ 52%]
GET /api/v1/broodstock/fish/ .                                            [ 52%]
POST /api/v1/broodstock/fish/ .                                           [ 53%]
GET /api/v1/broodstock/fish/by_container/ F                               [ 53%]
GET /api/v1/broodstock/fish/healthy/ F                                    [ 53%]
PUT /api/v1/broodstock/fish/{id}/ F                                       [ 53%]
GET /api/v1/broodstock/fish/{id}/ F                                       [ 54%]
PATCH /api/v1/broodstock/fish/{id}/ F                                     [ 54%]
DELETE /api/v1/broodstock/fish/{id}/ F                                    [ 54%]
GET /api/v1/broodstock/fish-movements/ .                                  [ 54%]
POST /api/v1/broodstock/fish-movements/ .                                 [ 55%]
POST /api/v1/broodstock/fish-movements/bulk_transfer/ .                   [ 55%]
PUT /api/v1/broodstock/fish-movements/{id}/ F                             [ 55%]
GET /api/v1/broodstock/fish-movements/{id}/ F                             [ 55%]
PATCH /api/v1/broodstock/fish-movements/{id}/ F                           [ 56%]
DELETE /api/v1/broodstock/fish-movements/{id}/ F                          [ 56%]
GET /api/v1/broodstock/breeding-plans/ .                                  [ 56%]
POST /api/v1/broodstock/breeding-plans/ .                                 [ 56%]
GET /api/v1/broodstock/breeding-plans/active/ F                           [ 57%]
PUT /api/v1/broodstock/breeding-plans/{id}/ F                             [ 57%]
GET /api/v1/broodstock/breeding-plans/{id}/ F                             [ 57%]
PATCH /api/v1/broodstock/breeding-plans/{id}/ F                           [ 57%]
DELETE /api/v1/broodstock/breeding-plans/{id}/ F                          [ 58%]
GET /api/v1/broodstock/trait-priorities/ F                                [ 58%]
POST /api/v1/broodstock/trait-priorities/ .                               [ 58%]
PUT /api/v1/broodstock/trait-priorities/{id}/ F                           [ 58%]
GET /api/v1/broodstock/trait-priorities/{id}/ F                           [ 59%]
PATCH /api/v1/broodstock/trait-priorities/{id}/ F                         [ 59%]
DELETE /api/v1/broodstock/trait-priorities/{id}/ F                        [ 59%]
GET /api/v1/broodstock/breeding-pairs/ .                                  [ 59%]
POST /api/v1/broodstock/breeding-pairs/ .                                 [ 60%]
PUT /api/v1/broodstock/breeding-pairs/{id}/ F                             [ 60%]
GET /api/v1/broodstock/breeding-pairs/{id}/ F                             [ 60%]
PATCH /api/v1/broodstock/breeding-pairs/{id}/ F                           [ 60%]
DELETE /api/v1/broodstock/breeding-pairs/{id}/ F                          [ 61%]
POST /api/v1/broodstock/breeding-pairs/{id}/record_progeny/ F             [ 61%]
GET /api/v1/broodstock/egg-suppliers/ F                                   [ 61%]
POST /api/v1/broodstock/egg-suppliers/ .                                  [ 61%]
PUT /api/v1/broodstock/egg-suppliers/{id}/ F                              [ 62%]
GET /api/v1/broodstock/egg-suppliers/{id}/ F                              [ 62%]
PATCH /api/v1/broodstock/egg-suppliers/{id}/ F                            [ 62%]
DELETE /api/v1/broodstock/egg-suppliers/{id}/ F                           [ 63%]
GET /api/v1/broodstock/egg-productions/ .                                 [ 63%]
POST /api/v1/broodstock/egg-productions/ F                                [ 63%]
POST /api/v1/broodstock/egg-productions/acquire_external/ .               [ 63%]
POST /api/v1/broodstock/egg-productions/produce_internal/ .               [ 64%]
PUT /api/v1/broodstock/egg-productions/{id}/ F                            [ 64%]
GET /api/v1/broodstock/egg-productions/{id}/ F                            [ 64%]
PATCH /api/v1/broodstock/egg-productions/{id}/ F                          [ 64%]
DELETE /api/v1/broodstock/egg-productions/{id}/ F                         [ 65%]
GET /api/v1/broodstock/external-egg-batches/ .                            [ 65%]
POST /api/v1/broodstock/external-egg-batches/ .                           [ 65%]
PUT /api/v1/broodstock/external-egg-batches/{id}/ F                       [ 65%]
GET /api/v1/broodstock/external-egg-batches/{id}/ F                       [ 66%]
PATCH /api/v1/broodstock/external-egg-batches/{id}/ F                     [ 66%]
DELETE /api/v1/broodstock/external-egg-batches/{id}/ F                    [ 66%]
GET /api/v1/broodstock/batch-parentages/ .                                [ 66%]
POST /api/v1/broodstock/batch-parentages/ .                               [ 67%]
GET /api/v1/broodstock/batch-parentages/lineage/ F                        [ 67%]
PUT /api/v1/broodstock/batch-parentages/{id}/ F                           [ 67%]
GET /api/v1/broodstock/batch-parentages/{id}/ F                           [ 67%]
PATCH /api/v1/broodstock/batch-parentages/{id}/ F                         [ 68%]
DELETE /api/v1/broodstock/batch-parentages/{id}/ F                        [ 68%]
GET /api/v1/infrastructure/geographies/ .                                 [ 68%]
POST /api/v1/infrastructure/geographies/ .                                [ 68%]
PUT /api/v1/infrastructure/geographies/{id}/ F                            [ 69%]
GET /api/v1/infrastructure/geographies/{id}/ F                            [ 69%]
PATCH /api/v1/infrastructure/geographies/{id}/ F                          [ 69%]
DELETE /api/v1/infrastructure/geographies/{id}/ F                         [ 69%]
GET /api/v1/infrastructure/areas/ .                                       [ 70%]
POST /api/v1/infrastructure/areas/ .                                      [ 70%]
PUT /api/v1/infrastructure/areas/{id}/ F                                  [ 70%]
GET /api/v1/infrastructure/areas/{id}/ F                                  [ 70%]
PATCH /api/v1/infrastructure/areas/{id}/ F                                [ 71%]
DELETE /api/v1/infrastructure/areas/{id}/ F                               [ 71%]
GET /api/v1/infrastructure/freshwater-stations/ .                         [ 71%]
POST /api/v1/infrastructure/freshwater-stations/ .                        [ 71%]
PUT /api/v1/infrastructure/freshwater-stations/{id}/ F                    [ 72%]
GET /api/v1/infrastructure/freshwater-stations/{id}/ F                    [ 72%]
PATCH /api/v1/infrastructure/freshwater-stations/{id}/ F                  [ 72%]
DELETE /api/v1/infrastructure/freshwater-stations/{id}/ F                 [ 72%]
GET /api/v1/infrastructure/halls/ .                                       [ 73%]
POST /api/v1/infrastructure/halls/ .                                      [ 73%]
PUT /api/v1/infrastructure/halls/{id}/ F                                  [ 73%]
GET /api/v1/infrastructure/halls/{id}/ F                                  [ 73%]
PATCH /api/v1/infrastructure/halls/{id}/ F                                [ 74%]
DELETE /api/v1/infrastructure/halls/{id}/ F                               [ 74%]
GET /api/v1/infrastructure/container-types/ F                             [ 74%]
POST /api/v1/infrastructure/container-types/ .                            [ 75%]
PUT /api/v1/infrastructure/container-types/{id}/ F                        [ 75%]
GET /api/v1/infrastructure/container-types/{id}/ F                        [ 75%]
PATCH /api/v1/infrastructure/container-types/{id}/ F                      [ 75%]
DELETE /api/v1/infrastructure/container-types/{id}/ F                     [ 76%]
GET /api/v1/infrastructure/containers/ F                                  [ 76%]
POST /api/v1/infrastructure/containers/ .                                 [ 76%]
PUT /api/v1/infrastructure/containers/{id}/ F                             [ 76%]
GET /api/v1/infrastructure/containers/{id}/ F                             [ 77%]
PATCH /api/v1/infrastructure/containers/{id}/ F                           [ 77%]
DELETE /api/v1/infrastructure/containers/{id}/ F                          [ 77%]
GET /api/v1/infrastructure/sensors/ .                                     [ 77%]
POST /api/v1/infrastructure/sensors/ .                                    [ 78%]
PUT /api/v1/infrastructure/sensors/{id}/ F                                [ 78%]
GET /api/v1/infrastructure/sensors/{id}/ F                                [ 78%]
PATCH /api/v1/infrastructure/sensors/{id}/ F                              [ 78%]
DELETE /api/v1/infrastructure/sensors/{id}/ F                             [ 79%]
GET /api/v1/infrastructure/feed-containers/ .                             [ 79%]
POST /api/v1/infrastructure/feed-containers/ .                            [ 79%]
PUT /api/v1/infrastructure/feed-containers/{id}/ F                        [ 79%]
GET /api/v1/infrastructure/feed-containers/{id}/ F                        [ 80%]
PATCH /api/v1/infrastructure/feed-containers/{id}/ F                      [ 80%]
DELETE /api/v1/infrastructure/feed-containers/{id}/ F                     [ 80%]
GET /api/v1/scenario/temperature-profiles/ F                              [ 80%]
POST /api/v1/scenario/temperature-profiles/ F                             [ 81%]
POST /api/v1/scenario/temperature-profiles/bulk_date_ranges/ .            [ 81%]
GET /api/v1/scenario/temperature-profiles/download_template/ F            [ 81%]
POST /api/v1/scenario/temperature-profiles/upload_csv/ .                  [ 81%]
PUT /api/v1/scenario/temperature-profiles/{profile_id}/ F                 [ 82%]
GET /api/v1/scenario/temperature-profiles/{profile_id}/ F                 [ 82%]
PATCH /api/v1/scenario/temperature-profiles/{profile_id}/ F               [ 82%]
DELETE /api/v1/scenario/temperature-profiles/{profile_id}/ F              [ 82%]
GET /api/v1/scenario/temperature-profiles/{profile_id}/statistics/ F      [ 83%]
GET /api/v1/scenario/tgc-models/ .                                        [ 83%]
