input_name,input_number,year_class,first_start,last_start,distinct_populations,input_count_sum,project_name,project_number,project_year_class,site_name
Benchmark Gen. Desembur 2025,4,2025,2025-12-10 11:39:29.000,2025-12-10 11:39:29.000,39,3500585.0,Benchmark Gen. Desembur 2025,4,2025,S24 Strond
Stofnfiskur S21 okt 25,4,2025,2025-10-29 13:13:47.000,2025-10-29 13:13:47.000,2,500580.0,Stofnfiskur S21 okt 25,4,2025,S21 Viðareiði
Bakkafrost S-21 okt 25,5,2025,2025-10-28 13:17:54.000,2025-10-28 13:17:54.000,5,999995.0,Bakkafrost S-21 okt 25,5,2025,S21 Viðareiði
Stofnfiskur Okt 25,3,2025,2025-10-01 09:35:19.000,2025-10-01 09:35:19.000,9,1761002.0,Stofnfiskur Okt 25,3,2025,S03 Norðtoftir
Benchmark Gen Septembur 2025,3,2025,2025-09-10 09:02:51.000,2025-09-10 09:02:51.000,39,3500200.0,Benchmark Gen Septembur 2025,3,2025,S24 Strond
Stofnfiskur August 25,4,2025,2025-08-27 15:08:41.000,2025-08-27 15:08:41.000,5,1800700.0,Stofnfiskur August 25,4,2025,S16 Glyvradalur
StofnFiskur S-21 juli25,3,2025,2025-07-23 13:48:53.000,2025-07-23 13:48:53.000,7,1501504.0,StofnFiskur S-21 juli25,3,2025,S21 Viðareiði
Benchmark Gen. Juni 2025,2,2025,2025-06-12 15:00:17.000,2025-06-12 15:00:17.000,39,3500565.0,Benchmark Gen. Juni 2025,2,2025,S24 Strond
Stofnfiskur mai 2025,3,2025,2025-05-28 13:07:15.000,2025-05-28 13:07:15.000,5,1800776.0,Stofnfiskur mai 2025,3,2025,S16 Glyvradalur
StofnFiskur S-21 apr 25,2,2025,2025-04-09 13:32:47.000,2025-04-09 13:32:47.000,7,1501500.0,StofnFiskur S-21 apr 25,2,2025,S21 Viðareiði
Benchmark Gen. Mars 2025,1,2025,2025-03-12 12:20:55.000,2025-03-12 12:20:55.000,39,3500200.0,Benchmark Gen. Mars 2025,1,2025,S24 Strond
Bakkafrost feb 2025,2,2025,2025-02-25 15:42:13.000,2025-02-25 15:42:13.000,1,299995.0,Bakkafrost feb 2025,2,2025,S16 Glyvradalur
Stofnfiskur feb 2025,1,2025,2025-02-19 09:54:51.000,2025-02-19 09:54:51.000,5,1500410.0,Stofnfiskur feb 2025,1,2025,S16 Glyvradalur
Bakkafrost S-21 jan 25,1,2025,2025-01-06 15:08:04.000,2025-01-06 15:08:04.000,7,1501093.0,Bakkafrost S-21 jan 25,1,2025,S21 Viðareiði
Benchmark Gen. Desembur 2024,4,2024,2024-12-18 08:52:25.000,2024-12-18 08:52:25.000,39,3504525.0,Benchmark Gen. Desembur 2024,4,2024,S24 Strond
Stofnfiskur Des 24,4,2024,2024-12-11 11:40:51.000,2024-12-11 11:40:51.000,12,1761814.0,Stofnfiskur Des 24,4,2024,S03 Norðtoftir
Stofnfiskur Nov 2024,5,2024,2024-11-20 14:02:24.000,2024-11-20 14:02:24.000,5,1800784.0,Stofnfiskur Nov 2024,5,2024,S16 Glyvradalur
StofnFiskur okt. 2024,3,2024,2024-10-02 08:01:52.000,2024-10-02 08:01:52.000,1,400520.0,StofnFiskur okt. 2024,3,2024,S08 Gjógv
Benchmark Gen. Septembur 2024,3,2024,2024-09-18 11:20:02.000,2024-09-18 11:20:02.000,39,3500000.0,Benchmark Gen. Septembur 2024,3,2024,S24 Strond
Bakkafrost S-21 sep24,3,2024,2024-09-16 11:22:28.000,2024-09-16 11:22:28.000,7,1500408.0,Bakkafrost S-21 sep24,3,2024,S21 Viðareiði
Stofnfiskur sept 24,3,2024,2024-09-04 14:54:18.000,2024-09-04 14:54:18.000,12,1760000.0,Stofnfiskur sept 24,3,2024,S03 Norðtoftir
Stofnfiskur Aug 2024,4,2024,2024-08-08 16:57:08.000,2024-08-08 16:57:08.000,5,1628460.0,Stofnfiskur Aug 2024,4,2024,S16 Glyvradalur
Benchmark Gen. Juni 2024,2,2024,2024-06-13 07:33:41.000,2024-06-13 07:33:41.000,39,3500000.0,Benchmark Gen. Juni 2024,2,2024,S24 Strond
