sea_input_name,input_number,year_class,first_start,last_start,distinct_populations
Vetur 2025-26,1,2025,2025-12-17 20:21:14.000,2026-01-10 23:20:49.000,25
Heyst 2025,1,2025,2025-08-28 23:07:59.000,2025-12-12 23:32:50.000,75
Vár 2025,1,2025,2025-03-27 23:18:16.000,2025-10-17 14:51:26.000,104
Summar 2025,1,2025,2025-06-17 23:36:18.000,2025-08-28 23:59:41.000,57
Vetur 2025,1,2025,2025-02-11 22:21:17.000,2025-03-31 23:58:50.000,27
Vetur 2024/2025,1,2024,2024-12-16 23:29:58.000,2025-03-27 23:49:33.000,44
Vetur 2024,1,2024,2024-12-07 22:55:01.000,2024-12-13 23:41:19.000,19
Heyst 2024,1,2024,2024-09-06 18:17:54.000,2024-12-08 22:42:52.000,86
Summar 2024,1,2024,2024-06-24 15:25:37.000,2024-09-04 14:12:21.000,116
Heyst 2023,1,2024,2024-07-23 18:21:31.000,2024-07-26 14:51:09.000,6
Vár 2024,1,2024,2024-02-19 15:29:44.000,2024-06-28 23:48:40.000,98
Heyst 2023,1,2023,2023-08-24 11:58:17.000,2024-05-25 20:25:50.000,108
Vetur 2023,1,2023,2023-12-14 08:42:32.000,2023-12-28 23:18:29.000,20
Summar 2023,1,2023,2023-08-21 09:39:07.000,2023-08-23 14:48:38.000,7
