geography,station_name,hall_name,dominant_lifecycle_stage,dominant_stage_rows,dominant_stage_population,assignment_rows_total,population_total,first_assignment_date,last_assignment_date,stage_breakdown_json
Faroe Islands,FI-FW-01,FI-FW-01-Hall-A,Egg&Alevin,220,65847740,220,65847740,2018-09-03,2026-01-24,"{""Egg&Alevin"": {""assignment_rows"": 220, ""population_total"": 65847740}}"
Faroe Islands,FI-FW-01,FI-FW-01-Hall-B,Fry,210,59771979,210,59771979,2018-12-02,2026-02-03,"{""Fry"": {""assignment_rows"": 210, ""population_total"": 59771979}}"
Faroe Islands,FI-FW-01,FI-FW-01-Hall-C,Parr,200,55190069,200,55190069,2019-03-02,2026-02-03,"{""Parr"": {""assignment_rows"": 200, ""population_total"": 55190069}}"
Faroe Islands,FI-FW-01,FI-FW-01-Hall-D,Smolt,190,51537660,190,51537660,2019-05-31,2026-02-03,"{""Smolt"": {""assignment_rows"": 190, ""population_total"": 51537660}}"
Faroe Islands,FI-FW-01,FI-FW-01-Hall-E,Post-Smolt,180,48470691,180,48470691,2019-08-29,2026-02-03,"{""Post-Smolt"": {""assignment_rows"": 180, ""population_total"": 48470691}}"
Faroe Islands,FI-FW-02,FI-FW-02-Hall-A,Egg&Alevin,200,59144853,200,59144853,2018-10-03,2026-01-04,"{""Egg&Alevin"": {""assignment_rows"": 200, ""population_total"": 59144853}}"
Faroe Islands,FI-FW-02,FI-FW-02-Hall-B,Fry,200,56850581,200,56850581,2019-01-01,2026-01-09,"{""Fry"": {""assignment_rows"": 200, ""population_total"": 56850581}}"
Faroe Islands,FI-FW-02,FI-FW-02-Hall-C,Parr,190,52260206,190,52260206,2019-04-01,2026-01-09,"{""Parr"": {""assignment_rows"": 190, ""population_total"": 52260206}}"
Faroe Islands,FI-FW-02,FI-FW-02-Hall-D,Smolt,180,48566484,180,48566484,2019-06-30,2026-01-04,"{""Smolt"": {""assignment_rows"": 180, ""population_total"": 48566484}}"
Faroe Islands,FI-FW-02,FI-FW-02-Hall-E,Post-Smolt,170,45445580,170,45445580,2019-09-28,2026-01-04,"{""Post-Smolt"": {""assignment_rows"": 170, ""population_total"": 45445580}}"
Faroe Islands,FI-FW-03,FI-FW-03-Hall-A,Egg&Alevin,190,55906457,190,55906457,2018-11-02,2025-12-15,"{""Egg&Alevin"": {""assignment_rows"": 190, ""population_total"": 55906457}}"
Faroe Islands,FI-FW-03,FI-FW-03-Hall-B,Fry,180,50910235,180,50910235,2019-01-31,2025-12-15,"{""Fry"": {""assignment_rows"": 180, ""population_total"": 50910235}}"
Faroe Islands,FI-FW-03,FI-FW-03-Hall-C,Parr,170,47049774,170,47049774,2019-05-01,2025-12-15,"{""Parr"": {""assignment_rows"": 170, ""population_total"": 47049774}}"
Faroe Islands,FI-FW-03,FI-FW-03-Hall-D,Smolt,160,43357342,160,43357342,2019-07-30,2025-12-05,"{""Smolt"": {""assignment_rows"": 160, ""population_total"": 43357342}}"
Faroe Islands,FI-FW-03,FI-FW-03-Hall-E,Post-Smolt,150,40210144,150,40210144,2019-10-28,2025-12-05,"{""Post-Smolt"": {""assignment_rows"": 150, ""population_total"": 40210144}}"
Faroe Islands,FI-FW-04,FI-FW-04-Hall-A,Egg&Alevin,50,14343746,50,14343746,2024-10-26,2025-11-28,"{""Egg&Alevin"": {""assignment_rows"": 50, ""population_total"": 14343746}}"
Faroe Islands,FI-FW-04,FI-FW-04-Hall-B,Fry,40,11123839,40,11123839,2025-02-25,2025-11-25,"{""Fry"": {""assignment_rows"": 40, ""population_total"": 11123839}}"
Faroe Islands,FI-FW-04,FI-FW-04-Hall-C,Parr,30,8237218,30,8237218,2025-05-26,2025-11-25,"{""Parr"": {""assignment_rows"": 30, ""population_total"": 8237218}}"
Faroe Islands,FI-FW-04,FI-FW-04-Hall-D,Smolt,20,5148653,20,5148653,2025-08-24,2025-11-22,"{""Smolt"": {""assignment_rows"": 20, ""population_total"": 5148653}}"
Faroe Islands,FI-FW-04,FI-FW-04-Hall-E,Post-Smolt,10,2174546,10,2174546,2025-11-22,2025-11-22,"{""Post-Smolt"": {""assignment_rows"": 10, ""population_total"": 2174546}}"
Faroe Islands,FI-FW-05,FI-FW-05-Hall-A,Egg&Alevin,10,3061005,10,3061005,2025-11-22,2025-11-22,"{""Egg&Alevin"": {""assignment_rows"": 10, ""population_total"": 3061005}}"
Faroe Islands,FI-FW-06,FI-FW-06-Hall-A,Egg&Alevin,10,3160572,10,3160572,2025-11-05,2025-11-05,"{""Egg&Alevin"": {""assignment_rows"": 10, ""population_total"": 3160572}}"
Scotland,S-FW-01,S-FW-01-Hall-A,Egg&Alevin,220,65858470,220,65858470,2018-09-18,2026-01-24,"{""Egg&Alevin"": {""assignment_rows"": 220, ""population_total"": 65858470}}"
Scotland,S-FW-01,S-FW-01-Hall-B,Fry,210,60202002,210,60202002,2018-12-17,2026-02-03,"{""Fry"": {""assignment_rows"": 210, ""population_total"": 60202002}}"
Scotland,S-FW-01,S-FW-01-Hall-C,Parr,200,56072296,200,56072296,2019-03-17,2026-02-03,"{""Parr"": {""assignment_rows"": 200, ""population_total"": 56072296}}"
Scotland,S-FW-01,S-FW-01-Hall-D,Smolt,190,52200299,190,52200299,2019-06-15,2026-02-03,"{""Smolt"": {""assignment_rows"": 190, ""population_total"": 52200299}}"
Scotland,S-FW-01,S-FW-01-Hall-E,Post-Smolt,180,48931900,180,48931900,2019-09-13,2026-02-03,"{""Post-Smolt"": {""assignment_rows"": 180, ""population_total"": 48931900}}"
Scotland,S-FW-02,S-FW-02-Hall-A,Egg&Alevin,200,58806869,200,58806869,2018-10-18,2026-01-04,"{""Egg&Alevin"": {""assignment_rows"": 200, ""population_total"": 58806869}}"
Scotland,S-FW-02,S-FW-02-Hall-B,Fry,200,56492949,200,56492949,2019-01-16,2026-01-09,"{""Fry"": {""assignment_rows"": 200, ""population_total"": 56492949}}"
Scotland,S-FW-02,S-FW-02-Hall-C,Parr,190,52371955,190,52371955,2019-04-16,2026-01-09,"{""Parr"": {""assignment_rows"": 190, ""population_total"": 52371955}}"
Scotland,S-FW-02,S-FW-02-Hall-D,Smolt,180,48473639,180,48473639,2019-07-15,2026-01-04,"{""Smolt"": {""assignment_rows"": 180, ""population_total"": 48473639}}"
Scotland,S-FW-02,S-FW-02-Hall-E,Post-Smolt,170,45154074,170,45154074,2019-10-13,2026-01-04,"{""Post-Smolt"": {""assignment_rows"": 170, ""population_total"": 45154074}}"
Scotland,S-FW-03,S-FW-03-Hall-A,Egg&Alevin,190,56412237,190,56412237,2018-11-17,2025-12-15,"{""Egg&Alevin"": {""assignment_rows"": 190, ""population_total"": 56412237}}"
Scotland,S-FW-03,S-FW-03-Hall-B,Fry,180,50819127,180,50819127,2019-02-15,2025-12-15,"{""Fry"": {""assignment_rows"": 180, ""population_total"": 50819127}}"
Scotland,S-FW-03,S-FW-03-Hall-C,Parr,170,46752118,170,46752118,2019-05-16,2025-12-15,"{""Parr"": {""assignment_rows"": 170, ""population_total"": 46752118}}"
Scotland,S-FW-03,S-FW-03-Hall-D,Smolt,160,43500209,160,43500209,2019-08-14,2025-12-05,"{""Smolt"": {""assignment_rows"": 160, ""population_total"": 43500209}}"
Scotland,S-FW-03,S-FW-03-Hall-E,Post-Smolt,150,40156122,150,40156122,2019-11-12,2025-12-05,"{""Post-Smolt"": {""assignment_rows"": 150, ""population_total"": 40156122}}"
Scotland,S-FW-04,S-FW-04-Hall-A,Egg&Alevin,50,15466463,50,15466463,2024-10-26,2025-11-28,"{""Egg&Alevin"": {""assignment_rows"": 50, ""population_total"": 15466463}}"
Scotland,S-FW-04,S-FW-04-Hall-B,Fry,40,11317439,40,11317439,2025-02-25,2025-11-25,"{""Fry"": {""assignment_rows"": 40, ""population_total"": 11317439}}"
Scotland,S-FW-04,S-FW-04-Hall-C,Parr,30,8208803,30,8208803,2025-05-26,2025-11-25,"{""Parr"": {""assignment_rows"": 30, ""population_total"": 8208803}}"
Scotland,S-FW-04,S-FW-04-Hall-D,Smolt,20,5560645,20,5560645,2025-08-24,2025-11-22,"{""Smolt"": {""assignment_rows"": 20, ""population_total"": 5560645}}"
Scotland,S-FW-04,S-FW-04-Hall-E,Post-Smolt,10,2622697,10,2622697,2025-11-22,2025-11-22,"{""Post-Smolt"": {""assignment_rows"": 10, ""population_total"": 2622697}}"
Scotland,S-FW-05,S-FW-05-Hall-A,Egg&Alevin,10,3286584,10,3286584,2025-11-22,2025-11-22,"{""Egg&Alevin"": {""assignment_rows"": 10, ""population_total"": 3286584}}"
Scotland,S-FW-06,S-FW-06-Hall-A,Egg&Alevin,10,2686532,10,2686532,2025-11-05,2025-11-05,"{""Egg&Alevin"": {""assignment_rows"": 10, ""population_total"": 2686532}}"
