container_id,container_name,container_type,container_category,location_context,geography,station_name,hall_name,area_name,carrier_name,volume_m3,max_biomass_kg,active,source_container_id,source_official_id,source_org_unit_id
3958,DEMO-TRUCK-01-T01,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3959,DEMO-TRUCK-01-T02,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3960,DEMO-TRUCK-01-T03,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3961,DEMO-TRUCK-01-T04,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3962,DEMO-TRUCK-01-T05,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3963,DEMO-TRUCK-01-T06,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3964,DEMO-TRUCK-01-T07,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3965,DEMO-TRUCK-01-T08,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3966,DEMO-TRUCK-01-T09,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3967,DEMO-TRUCK-01-T10,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-01,12.00,840.00,True,,,
3968,DEMO-TRUCK-02-T01,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3969,DEMO-TRUCK-02-T02,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3970,DEMO-TRUCK-02-T03,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3971,DEMO-TRUCK-02-T04,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3972,DEMO-TRUCK-02-T05,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3973,DEMO-TRUCK-02-T06,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3974,DEMO-TRUCK-02-T07,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3975,DEMO-TRUCK-02-T08,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3976,DEMO-TRUCK-02-T09,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3977,DEMO-TRUCK-02-T10,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-02,12.00,840.00,True,,,
3978,DEMO-TRUCK-03-T01,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3979,DEMO-TRUCK-03-T02,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3980,DEMO-TRUCK-03-T03,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3981,DEMO-TRUCK-03-T04,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3982,DEMO-TRUCK-03-T05,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3983,DEMO-TRUCK-03-T06,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3984,DEMO-TRUCK-03-T07,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3985,DEMO-TRUCK-03-T08,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
3986,DEMO-TRUCK-03-T09,Pre-Transfer Tanks - Post-Smolt,TANK,carrier,,,,,DEMO-TRUCK-03,12.00,840.00,True,,,
