area_id,area_name,geography,area_group,area_group_parent,container_count,active,latitude,longitude,max_biomass_kg,source_orgunit_id
109,A5BF0017-F7F6-4708-93CA-FE52F5FF7D9B,826,,,0,True,57.485278,-7.192500,0.00,
98,D8027C3E-B22B-49DA-8AD9-F1B428C9EEF7,826,,,0,True,57.599722,-7.181667,0.00,
197,A03 Svínáir,Faroe Islands,West,,21,True,62.237553,-7.043610,0.00,
132,A04 Lambavík,Faroe Islands,North,,65,True,62.136954,-6.676941,0.00,
155,A05 Undir Síðu,Faroe Islands,West,,21,True,62.109504,-6.864738,0.00,
156,A06 Argir,Faroe Islands,West,,30,True,61.990265,-6.753845,0.00,ABE0381F-F040-4514-9DDA-95F7CC7FED19
124,A07 Vestmanna,Faroe Islands,West,,60,True,62.145457,-7.167206,0.00,
116,A11 Hvannasund S,Faroe Islands,North,,57,True,62.285327,-6.505580,0.00,
126,A12 Kunoyarnes,Faroe Islands,North,,43,True,62.248425,-6.601410,0.00,
123,A13 Borðoyavík,Faroe Islands,North,,83,True,62.200428,-6.543045,0.00,
127,A15 Tvøroyri,Faroe Islands,South,,69,True,61.548222,-6.810150,0.00,
128,A18 Hov,Faroe Islands,South,,47,True,61.501570,-6.750412,0.00,
131,A19 Vágur,Faroe Islands,South,,87,True,61.450255,-6.771698,0.00,23C24A59-F4E3-4D64-8DBB-5C61920E4788
119,A21 Hvannasund S,Faroe Islands,North,,162,True,62.274632,-6.488457,0.00,
195,A23 Hvalba,Faroe Islands,South,,10,True,61.601294,-6.916752,0.00,
182,A25 Gøtuvík,Faroe Islands,West,,33,True,-62.177843,-6.709900,0.00,
187,A35 Skálafjørður,Faroe Islands,West,,15,True,62.150269,-6.755562,0.00,
157,A47 Gøtuvík,Faroe Islands,West,,30,True,0.000000,0.000000,0.00,
137,A57 Fuglafjørður,Faroe Islands,West,,66,True,62.225396,-6.792297,0.00,3F68CC43-2AAA-4632-B9CE-E34AD7C23417
121,A63 Árnafjørður,Faroe Islands,North,,104,True,62.238352,-6.514206,0.00,
144,A71 Funningsfjørður,Faroe Islands,West,,76,True,62.288684,-6.949196,0.00,
168,A72 Haraldsund,Faroe Islands,North,,37,True,62.288525,-6.605873,0.00,35F4F58D-50E0-4192-B222-DB915066A4A0
129,A73 Hvannas.Norður,Faroe Islands,North,,85,True,62.327455,-6.549911,0.00,8D9BB867-7747-4226-B2DF-AB8620C2DD04
149,A80 Selatrað,Faroe Islands,West,,20,True,62.151873,-6.873665,0.00,
167,A81 Kolbeinargjógv,Faroe Islands,West,,31,True,-62.109343,-6.801224,0.00,293428CA-CC83-47A4-A097-33E9BCA81367
114,A82 Kaldbaksfjørður,Faroe Islands,West,,55,True,62.057747,-6.809463,0.00,
189,A85 Nes,Faroe Islands,West,,15,True,62.074414,6.733261,0.00,
184,Ardmeanach,Scotland,Not in use,,16,True,0.000000,0.000000,0.00,
193,Ardvourlie,Scotland,Not in use,,12,True,57.966667,-6.716667,0.00,
125,Gousam,Scotland,Not in use,,30,True,58.183333,-6.916667,0.00,
171,GravirInner,Scotland,Not in use,,30,True,58.033333,-6.383333,0.00,
191,Greinham,Scotland,Not in use,,12,True,0.000000,0.000000,0.00,
122,Grosebay,Scotland,Not in use,,21,True,57.823611,-6.789167,0.00,
159,N111 Eughlam,Scotland,LEWIS,,30,True,58.233333,-6.833333,0.00,
162,N112 Taranaish,Scotland,LEWIS,,27,True,58.216667,-6.800000,0.00,
170,N113 Vacasay,Scotland,Not in use,,25,True,58.216667,-6.783333,0.00,
180,N121 KylesVuia,Scotland,LEWIS,,35,True,58.200000,-6.866667,0.00,
181,N122 VuiaMor,Scotland,LEWIS,,31,True,58.200000,-6.883333,0.00,
136,N131 Gravir,Scotland,LEWIS,,20,True,58.033333,-6.383333,0.00,
158,N221 TrilleachanMor,Scotland,Not in use,,20,True,57.966667,-6.716667,0.00,
175,N222 Plocrapol,Scotland,HARRIS,,15,True,57.849722,-6.745833,0.00,
140,N223 Reibinish,Scotland,HARRIS,,16,True,57.835556,-6.737500,0.00,
177,N224 Scadabay,Scotland,HARRIS,,20,True,57.825000,-6.778056,0.00,
183,N225 Scotasay,Scotland,HARRIS,,12,True,57.880767,-6.740667,0.00,
194,N226 Raineach,Scotland,HARRIS,,12,True,57.877055,-6.736894,0.00,
150,N311 OuterEport,Scotland,Not in use,,12,True,57.659444,-7.283889,0.00,
174,N312 Trenay,Scotland,Not in use,,12,True,57.556667,-7.195278,0.00,
185,N321 Grimsay,Scotland,Not in use,,12,True,57.485278,-7.192500,0.00,
115,N322 MaragayMor,Scotland,BENBECULA,,16,True,57.443889,-7.202778,0.00,
186,N323 Uiskevagh,Scotland,Not in use,,30,True,57.440833,-7.236944,0.00,
178,N324 Maaey,Scotland,BENBECULA,,24,True,57.438889,-7.201667,0.00,
169,N331 Greanamul,Scotland,BENBECULA,,20,True,57.416111,-7.191389,0.00,
196,N332 PetersportNorth,Scotland,Not in use,,12,True,57.397500,-7.235833,0.00,
192,N332 PetersportSouth,Scotland,Not in use,,12,True,57.394722,-7.235833,0.00,
113,N611 SgeirDughall,Scotland,SKYE and MAINLAND,,20,True,0.000000,0.000000,0.00,
139,N612 Kenmore,Scotland,Not in use,,61,True,57.533333,-5.733333,0.00,
153,N613 Aird,Scotland,SKYE and MAINLAND,,41,True,57.533333,-5.683333,0.00,
147,N614 WestStrome,Scotland,SKYE and MAINLAND,,16,True,57.366667,-5.516667,0.00,
135,N621 Portree,Scotland,SKYE and MAINLAND,,42,True,57.417222,-6.166667,0.00,
134,OuterGrosebay,Scotland,Not in use,,10,True,0.000000,0.000000,0.00,
117,Portavadie,Scotland,Not in use,,10,True,0.000000,0.000000,0.00,
146,S211 Gometra,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,20,True,56.499722,-6.286944,0.00,
166,S212 Geasgill,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,30,True,56.450000,-6.150000,0.00,
142,S213 Tuath,Scotland,Not in use,,30,True,56.483333,-6.183333,0.00,
112,S214 InchKenneth,Scotland,Not in use,,35,True,56.450000,-6.133333,0.00,
188,S221 EastTarbertBay,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,21,True,55.716667,-5.700000,0.00,
172,S222 DruimyeonBay,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,40,True,55.700000,-5.700000,0.00,
179,S311 Furnace,Scotland,LOCH FYNE,,12,True,56.150000,-5.166667,0.00,
152,S312 QuarryPoint,Scotland,LOCH FYNE,,20,True,56.116667,-5.216667,0.00,
164,S313 Ardcastle,Scotland,LOCH FYNE,,19,True,56.066667,-5.283333,0.00,
161,S321 Ardgaddan,Scotland,LOCH FYNE,,30,True,55.966667,-5.350000,0.00,
143,S322 StrondoirBay,Scotland,LOCH FYNE,,30,True,55.950000,-5.433333,0.00,
145,S331 GlenanBay,Scotland,LOCH FYNE,,20,True,55.878333,-5.318056,0.00,
118,S332 RubhaStillaig,Scotland,LOCH FYNE,,30,True,55.850000,-5.316667,0.00,
141,S341 GobaBharra,Scotland,LOCH FYNE,,24,True,55.916667,-5.350000,0.00,
130,S342 MeallMhor,Scotland,LOCH FYNE,,45,True,55.900000,-5.416667,0.00,
190,S343 TarbertSouth,Scotland,LOCH FYNE,,20,True,55.833333,-5.350000,0.00,
133,S411 SgianDubh,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,20,True,55.928611,-5.080833,0.00,
138,S412 Strone,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,26,True,55.900000,-5.066667,0.00,
160,S413 Ardyne,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,26,True,55.866667,-5.033333,0.00,
151,S421 Lamlash,Scotland,"STRIVEN,ARRAN,MULL,GIGHA",,35,True,55.583333,-5.133333,0.00,
163,SgeirMor,Scotland,Not in use,,20,True,57.411667,-6.172222,0.00,
148,Stockinish,Scotland,Not in use,,28,True,57.820833,-6.838611,0.00,
154,Strome,Scotland,Not in use,,31,True,57.366667,-5.516667,0.00,
176,ToaTolsta,Scotland,Not in use,,12,True,58.300000,-6.200000,0.00,
165,Uishnish,Scotland,Not in use,,12,True,0.000000,0.000000,0.00,
120,VuiaBeag,Scotland,Not in use,,44,True,58.183333,-6.900000,0.00,
173,WestKyles,Scotland,Not in use,,20,True,55.916667,-5.183333,0.00,
54,067B23F6-F6C3-4DDD-9E37-81DE680C6D9C,Unknown,,,0,True,62.074414,6.733261,0.00,
51,0779B406-03D5-47EF-AFF6-7C307086848F,Unknown,,,0,True,62.183631,6.685694,0.00,
21,09690312-D9C4-4609-AC40-3D53B9B253F0,Unknown,,,0,True,55.583333,-5.133333,0.00,
75,09CB6230-329D-4FCF-B289-BF1C88CDE84F,Unknown,,,0,True,56.450000,-6.133333,0.00,
69,0BE4D8FF-312A-40E7-92DB-B3C480D7ADB5,Unknown,,,0,True,57.436554,-5.599186,0.00,
96,0F0B069F-8B76-4607-B6D4-EDFB6F632B34,Unknown,,,0,True,56.066667,-5.283333,0.00,
18,12067892-777A-49CB-9600-30815A867514,Unknown,,,0,True,61.548222,-6.810150,0.00,
108,18BE8D97-1C87-4696-ADB9-FE25F305520F,Unknown,,,0,True,55.900000,-5.416667,0.00,
90,1C6FE05A-C9F1-4CFA-A1CB-E7B874D0DD2D,Unknown,,,0,True,58.233333,-6.833333,0.00,
104,1EA6D5E0-AAFC-4B18-82B6-FA7E2593AC13,Unknown,,,0,True,-62.000000,-7.000000,0.00,
53,225193DB-E58A-4A00-8514-8043970FC16E,Unknown,,,0,True,62.145457,-7.167206,0.00,
45,246A54A2-175B-4C20-BB46-724E1A41CD32,Unknown,,,0,True,62.000000,-7.000000,0.00,
81,24C2607C-7705-4FCE-9E30-D47A0FAC5132,Unknown,,,0,True,57.556667,-7.195278,0.00,
77,27E1B391-778D-4A9B-B8C4-C41A7F28EB99,Unknown,,,0,True,57.470851,-5.571871,0.00,
52,2D73091D-966A-42A7-B2B8-7E3228350057,Unknown,,,0,True,56.100000,-3.150000,0.00,
88,2E166057-8DA9-460D-BC99-DC47F17DEAEB,Unknown,,,0,True,57.404722,-5.639167,0.00,
97,300A5663-1EAE-428D-A666-F073B13F88CB,Unknown,,,0,True,58.216667,-6.783333,0.00,
74,30351E04-B94E-4C03-9CEF-BDE0D5A3316F,Unknown,,,0,True,57.533333,-5.733333,0.00,
106,340EAAC8-CA20-4852-ADBA-FDADDC1504A5,Unknown,,,0,True,57.825000,-6.778056,0.00,
94,344FC1BB-51D3-4835-932C-EBDA500EA5C6,Unknown,,,0,True,-62.271337,-6.592612,0.00,
68,3ADA79D7-9205-44FF-99E9-AEC1BBC77910,Unknown,,,0,True,62.248425,-6.601410,0.00,
12,3BF7356E-38CB-4E20-8659-25A0A0C70A16,Unknown,,,0,True,55.866667,-5.033333,0.00,
28,3D62342F-7E7F-4F06-9F4F-4CDC65690E7E,Unknown,,,0,True,62.225396,-6.792297,0.00,
60,3FF01342-15AB-4420-B095-9DABD81279D7,Unknown,,,0,True,57.568611,7.299722,0.00,
24,426C51D8-5EAA-4939-85D7-42EAFA316B81,Unknown,,,0,True,57.820833,-6.838611,0.00,
25,44C1242F-E469-4152-9AEE-45802716792C,Unknown,,,0,True,62.200428,-6.543045,0.00,
61,4558146F-9D73-4FFE-9EA9-9F07B0573708,Unknown,,,0,True,57.849722,-6.745833,0.00,
103,475FF24F-896B-4A59-BADE-F8515288F7EE,Unknown,,,0,True,55.916667,-5.350000,0.00,
19,485A9D0C-7948-457B-BB7B-3782DEAA9A5B,Unknown,,,0,True,57.366667,-5.516667,0.00,
10,4897275C-7A60-4196-8BF2-21698FDF1F2C,Unknown,,,0,True,56.100000,-3.150000,0.00,
41,4C502B12-D95F-4BD5-88B9-6D2E82CBF6F4,Unknown,,,0,True,57.440833,-7.236944,0.00,
85,4ED3A3FB-6FE0-4B6F-BFA3-D997C4C9E14F,Unknown,,,0,True,58.300000,-6.200000,0.00,
38,4FE95AC1-B801-4A4D-A6C6-6297917CD8E2,Unknown,,,0,True,62.333333,-7.000000,0.00,
91,5D4DF8D8-23AA-492F-AC0B-E7D181E89DE0,Unknown,,,0,True,57.416111,-7.191389,0.00,
73,5F063750-2DF7-4345-972C-BDA99CD85708,Unknown,,,0,True,55.850000,-5.316667,0.00,
43,6606631C-E55E-4D9F-B95D-70AEA18EFD57,Unknown,,,0,True,58.183333,-6.916667,0.00,
56,672E6FAD-160E-4E8D-8D0D-831EE59CB391,Unknown,,,0,True,58.183333,-6.900000,0.00,
102,6924124F-4B3D-4711-8002-F7DF0095601A,Unknown,,,0,True,57.443889,-7.202778,0.00,
59,699507EA-2E17-4C9C-8F52-9D22E991EE2E,Unknown,,,0,True,57.659444,-7.283889,0.00,
36,6A93FD8D-A9DD-4059-8E97-60B45FDCA8E8,Unknown,,,0,True,62.274632,-6.488457,0.00,
6,6C15BB04-660C-48BF-A456-19B38DD4E201,Unknown,,,0,True,62.000000,-4.000000,0.00,
82,6DC1F7B5-B5CC-4069-9DF4-D5CA34CD0CE5,Unknown,,,0,True,61.905893,-6.882039,0.00,
11,6F7A358E-158C-4D51-971E-236A4D64F96E,Unknown,,,0,True,62.136954,-6.676941,0.00,
46,6F92E3D7-76D6-4A4F-84D2-73203EBAC695,Unknown,,,0,True,57.659444,-7.283889,0.00,
107,70BF953D-9B2B-43DE-ABB4-FDF9136FBCFC,Unknown,,,0,True,57.568611,-7.299722,0.00,
40,734EAE20-35F2-4B9E-BB74-69C57DFC302C,Unknown,,,0,True,55.878333,-5.318056,0.00,
70,78714F34-DC99-4F84-84ED-B4712E790B3E,Unknown,,,0,True,57.880767,-6.740667,0.00,
35,78C1723E-B63E-432C-A35E-58A5C5AF18A7,Unknown,,,0,True,55.700000,-5.700000,0.00,
16,7CBBADEA-DDF2-4B82-B32E-2ABE2EDD8F70,Unknown,,,0,True,61.990265,-6.753845,0.00,
62,7CFD24F5-649D-4499-9D5A-A02234CA51A2,Unknown,,,0,True,57.533333,-5.683333,0.00,
99,7D03D398-B8FA-4AD6-A6BA-F22E4E1B7138,Unknown,,,0,True,61.501570,-6.750412,0.00,
64,7DF3C31A-96FD-4D3B-A5AD-A4CF59B9E998,Unknown,,,0,True,55.716667,-5.700000,0.00,
58,7E6944C8-734E-4754-BA86-9BB9C7E98C65,Unknown,,,0,True,57.417222,-6.166667,0.00,
95,84484018-38EB-4D95-B0E7-EC036B4B250D,Unknown,,,0,True,58.200000,-6.866667,0.00,
