container_id,container_name,container_type,container_category,location_context,geography,station_name,hall_name,area_name,carrier_name,volume_m3,max_biomass_kg,hierarchy_role,parent_container_id,parent_container_name,active,source_container_id,source_official_id,source_org_unit_id
1058,01,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Nýggjastova,,,4.00,0.00,HOLDING,,,True,626A8702-E84D-40B5-940A-181830C9B6ED,Nýggjastova;11001,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
8318,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A57 Fuglafjørður,,30500.00,0.00,HOLDING,,,True,DE7B592C-F03E-42B9-B072-D3378FDEF7AE,A-57;00959,3F68CC43-2AAA-4632-B9CE-E34AD7C23417
7016,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A13 Borðoyavík,,19000.00,0.00,HOLDING,,,True,BB9A947F-BDE0-468E-85BD-4C9D9C52435E,A-13;00552,9F33EC00-8F0F-43E2-A723-24F4147C9764
5698,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A11 Hvannasund S,,30500.00,0.00,HOLDING,,,True,2AF12EB5-4B4B-4F94-98A5-A32981ECAFD7,A-11;00797,DF89504B-75D8-4C33-81E0-F5A35C090490
6301,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A21 Hvannasund S,,30500.00,0.00,HOLDING,,,True,29D17117-88A6-4E69-AAC1-C4E523DA824A,A-21;01112,D611FAA3-A73B-4245-BE0D-4F7ACB9686E1
8164,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A04 Lambavík,,30500.00,0.00,HOLDING,,,True,E54B7724-B439-4BDB-9667-91C6BDEA97C9,A-04;01085,4BAA4C0B-527B-4B33-A690-7487BB3FC38C
7864,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A18 Hov,,45600.00,0.00,HOLDING,,,True,970D6C30-E989-44DB-8277-FBFB498CFACA,A-18;00932,6C076B2C-EE01-43DA-9BC4-DDF75C8F7FE4
7661,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A12 Kunoyarnes,,48000.00,0.00,HOLDING,,,True,A8FF0A06-0DD2-4A14-8032-C9B90886E721,A-12;01193,1DF1FCA6-FD5E-4978-A31E-050BDD16F7B8
7888,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A73 Hvannas.Norður,,30500.00,0.00,HOLDING,,,True,CE2983FE-5469-4B55-8415-04D89D03E210,A-73;00870,8D9BB867-7747-4226-B2DF-AB8620C2DD04
7828,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A15 Tvøroyri,,26500.00,0.00,HOLDING,,,True,57921356-5087-4147-A7DC-202CB3CE8392,A-15;00989,DC17CAB5-F7D8-4492-A39E-5655748D4D8D
6050,01,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Klekihøll,,,0.00,0.00,HOLDING,5850,Skáp 1,True,E1D44640-2FB8-49FC-AC9B-3186863A9915,Klekibakkar;02640,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
8044,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A19 Vágur,,30500.00,0.00,HOLDING,,,True,2ED15E1F-4F19-4A7F-86CE-6CA568AAC980,A-19;01042,23C24A59-F4E3-4D64-8DBB-5C61920E4788
6603,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A63 Árnafjørður,,30500.00,0.00,HOLDING,,,True,E4645ADC-720D-40AB-8F2F-8B9D0645BE98,A-63;00841,EACCE257-E301-4F74-ADDB-07B9CED51EE2
8827,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A71 Funningsfjørður,,30500.00,0.00,HOLDING,,,True,413642BD-A18B-4C5B-AC40-596D8921DD71,A-71;01005,0B26FC7E-07D5-4EB5-89F4-0B5EF43C9711
9370,01,FishTalk Imported Pen,PEN,area,Scotland,,,Uishnish,,0.00,0.00,HOLDING,,,True,32D1C420-D6CD-49BD-B4A4-A45D277E58CC,,ED50974E-AD61-4867-95E0-893D7272A980
10080,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A03 Svínáir,,9000.00,0.00,HOLDING,,,True,436864C2-84C7-4A7B-9AC3-D7F88C19726F,,33151514-3578-47D1-B86B-2FB34AE6A52E
9923,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A35 Skálafjørður,,9000.00,0.00,HOLDING,,,True,E8A319F3-B192-439D-87D7-F055BFD46821,A-35;00158,25330936-EC4B-4138-AE34-C843F0F3A688
9143,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A06 Argir,,28500.00,0.00,HOLDING,,,True,AAE4140B-9BFE-4106-9F94-929450A79142,A-06;00700,ABE0381F-F040-4514-9DDA-95F7CC7FED19
9959,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A85 Nes,,30500.00,0.00,HOLDING,,,True,E1C2366A-E8EC-48BA-8578-65F504CF9D36,A-85;01128,FE4630CF-4AE2-41FC-A682-B23C5E38E06C
9115,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A05 Undir Síðu,,30500.00,0.00,HOLDING,,,True,6AFF6073-6938-4725-B9AF-2E906B778A90,A-05;00600,54FDE215-3298-4C80-89FD-0B634468D065
9468,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A72 Haraldsund,,30500.00,0.00,HOLDING,,,True,EA57ECC4-B9FA-427E-BA80-1CF082773F52,A-72;00898,35F4F58D-50E0-4192-B222-DB915066A4A0
9410,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A81 Kolbeinargjógv,,30500.00,0.00,HOLDING,,,True,EEBD0209-2A7E-46FB-B869-1F1932B50EAA,A-81;01228,293428CA-CC83-47A4-A097-33E9BCA81367
10051,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A23 Hvalba,,48000.00,0.00,HOLDING,,,True,7318F12E-0E8E-404E-92FA-DCDE1BF9C7E8,A-23;01100,DAEB2A12-ECE3-4B74-9D59-30F1541DD8CB
8939,01,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A80 Selatrað,,30500.00,0.00,HOLDING,,,True,CF6DEC22-7323-4FB9-BC15-5A07674FAC41,A-80;01205,B9F08F1B-F8F6-437A-8D48-C2DFF4795A3D
8048,01 (A92),FishTalk Imported Pen,PEN,area,Faroe Islands,,,A19 Vágur,,30500.00,0.00,HOLDING,,,True,484F7C97-47E7-4C38-9D08-7E2E7A018B90,A-92;00990,23C24A59-F4E3-4D64-8DBB-5C61920E4788
5156,01-00663,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A82 Kaldbaksfjørður,,18500.00,0.00,HOLDING,,,True,F02176F9-CEEC-4CBB-8DAD-CF0AFAEC5DA4,,8FE2B9A9-C917-4FFD-8BA7-BC41E8F1965A
5131,01-xxxxx,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A82 Kaldbaksfjørður,,19000.00,0.00,HOLDING,,,True,B2209990-3D16-42CF-82D7-6B80BA52B6D6,,8FE2B9A9-C917-4FFD-8BA7-BC41E8F1965A
7877,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A18 Hov,,45600.00,0.00,HOLDING,,,True,A11B2468-30D7-4D9F-A971-A8225609B7E5,A-18;00934,6C076B2C-EE01-43DA-9BC4-DDF75C8F7FE4
791,02,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Nýggjastova,,,4.00,0.00,HOLDING,,,True,ADF11EBA-6ADE-4B57-8E2E-A5384C2CFD9C,Nýggjastova;11002,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
8063,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A19 Vágur,,30500.00,0.00,HOLDING,,,True,1A3C42B3-9DB1-414B-A496-CBF30E40B0F6,A-19;01037,23C24A59-F4E3-4D64-8DBB-5C61920E4788
8175,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A04 Lambavík,,30500.00,0.00,HOLDING,,,True,77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7,A-04;00834,4BAA4C0B-527B-4B33-A690-7487BB3FC38C
6536,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A63 Árnafjørður,,30500.00,0.00,HOLDING,,,True,8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5,A-63;01156,EACCE257-E301-4F74-ADDB-07B9CED51EE2
8295,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A57 Fuglafjørður,,30500.00,0.00,HOLDING,,,True,9B55D18E-E278-465D-8665-9D37DE3AD6F7,A-57;01074,3F68CC43-2AAA-4632-B9CE-E34AD7C23417
7969,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A73 Hvannas.Norður,,30500.00,0.00,HOLDING,,,True,B65F41DF-7162-461E-8D97-DC7E76012051,A-73;01019,8D9BB867-7747-4226-B2DF-AB8620C2DD04
7033,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A13 Borðoyavík,,19000.00,0.00,HOLDING,,,True,CC65F7FC-43B1-415A-85E6-0DCA07BE24FC,A-13;00564,9F33EC00-8F0F-43E2-A723-24F4147C9764
5714,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A11 Hvannasund S,,30500.00,0.00,HOLDING,,,True,69F2D56D-A908-4EA7-8B71-202A48FC883F,A-11;00839,DF89504B-75D8-4C33-81E0-F5A35C090490
7832,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A15 Tvøroyri,,26500.00,0.00,HOLDING,,,True,87F0D7D4-52C3-44A9-98DB-A49A26AB882A,A-15;00970,DC17CAB5-F7D8-4492-A39E-5655748D4D8D
6207,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A21 Hvannasund S,,30500.00,0.00,HOLDING,,,True,3E29D9C0-8522-45D8-B843-65A65C5D6C4A,A-21;00793,D611FAA3-A73B-4245-BE0D-4F7ACB9686E1
7679,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A12 Kunoyarnes,,48000.00,0.00,HOLDING,,,True,2479AFFB-D41D-4079-A0B9-1F5E900654C0,A-12;01195,1DF1FCA6-FD5E-4978-A31E-050BDD16F7B8
6091,02,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Klekihøll,,,0.00,0.00,HOLDING,5850,Skáp 1,True,35D11E26-6415-4229-8D7F-5A2294B06BA7,Klekihøll;02641,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
9372,02,FishTalk Imported Pen,PEN,area,Scotland,,,Uishnish,,0.00,0.00,HOLDING,,,True,816E9EB1-FFFF-4249-961B-E5EF13C0E9E1,,ED50974E-AD61-4867-95E0-893D7272A980
9951,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A85 Nes,,30500.00,0.00,HOLDING,,,True,1E9F4EC1-4624-4CDA-9EBE-C31ABAAB338A,A-85;00953,FE4630CF-4AE2-41FC-A682-B23C5E38E06C
9151,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A06 Argir,,28500.00,0.00,HOLDING,,,True,088FAC00-5BCA-46F8-B054-EC53A464831E,A-06;00701,ABE0381F-F040-4514-9DDA-95F7CC7FED19
9415,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A81 Kolbeinargjógv,,30500.00,0.00,HOLDING,,,True,FA7A6AE3-DE47-4693-B990-52401902460D,A-81;01202,293428CA-CC83-47A4-A097-33E9BCA81367
10078,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A03 Svínáir,,9000.00,0.00,HOLDING,,,True,1627387B-5BCA-4347-BE8A-C0313E71CE2C,,33151514-3578-47D1-B86B-2FB34AE6A52E
9452,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A72 Haraldsund,,30500.00,0.00,HOLDING,,,True,31DA1B0A-4087-4BEC-8672-E7625D090773,A-72;00894,35F4F58D-50E0-4192-B222-DB915066A4A0
10043,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A23 Hvalba,,48000.00,0.00,HOLDING,,,True,86B7DDB9-9ED8-42C7-9B32-9E26717C3660,A-23;00931,DAEB2A12-ECE3-4B74-9D59-30F1541DD8CB
8928,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A80 Selatrað,,30500.00,0.00,HOLDING,,,True,67295072-9D3C-4E7B-B0BB-3798725239BE,A-80;01063,B9F08F1B-F8F6-437A-8D48-C2DFF4795A3D
9114,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A05 Undir Síðu,,30500.00,0.00,HOLDING,,,True,A0C5E989-5224-4C7F-B641-17087B7DE7B6,A-05;00862,54FDE215-3298-4C80-89FD-0B634468D065
8767,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A71 Funningsfjørður,,30500.00,0.00,HOLDING,,,True,2077BA35-4397-49DA-B394-08DE967C7E4A,A-71;00724,0B26FC7E-07D5-4EB5-89F4-0B5EF43C9711
9914,02,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A35 Skálafjørður,,9000.00,0.00,HOLDING,,,True,F98CB228-B625-45FB-92EF-F4825554936D,A-35;00204,25330936-EC4B-4138-AE34-C843F0F3A688
8077,02 (A92),FishTalk Imported Pen,PEN,area,Faroe Islands,,,A19 Vágur,,48000.00,0.00,HOLDING,,,True,93BBD4B1-175A-4162-B64F-949D7DCFF1B4,A-92;00934,23C24A59-F4E3-4D64-8DBB-5C61920E4788
5164,02-00222,FishTalk Imported Pen,PEN,area,Faroe Islands,,,A82 Kaldbaksfjørður,,12000.00,0.00,HOLDING,,,True,0516207B-2284-4DF9-B22E-32EE450EDA6F,,8FE2B9A9-C917-4FFD-8BA7-BC41E8F1965A
