hall_id,hall_name,station_id,station_name,geography,container_count,active,description
109,Hall,21,H01 Svínoy,Faroe Islands,59,True,Imported placeholder from FishTalk
122,H125 Glyvrar Hall,31,H125 Glyvrar,Faroe Islands,1,True,Imported placeholder from FishTalk
9,Fryst sil,1,L01 Við Áir,Faroe Islands,1,True,Imported placeholder from FishTalk
3,Gamalt,1,L01 Við Áir,Faroe Islands,63,True,Imported placeholder from FishTalk
8,Klekistova 1,1,L01 Við Áir,Faroe Islands,3,True,Imported placeholder from FishTalk
7,Klekistova 2,1,L01 Við Áir,Faroe Islands,4,True,Imported placeholder from FishTalk
6,Miðstova,1,L01 Við Áir,Faroe Islands,28,True,Imported placeholder from FishTalk
5,Niðristova,1,L01 Við Áir,Faroe Islands,6,True,Imported placeholder from FishTalk
2,Nýggjastova,1,L01 Við Áir,Faroe Islands,414,True,Imported placeholder from FishTalk
1,Uppistova 1,1,L01 Við Áir,Faroe Islands,753,True,Imported placeholder from FishTalk
4,Uppistova 2,1,L01 Við Áir,Faroe Islands,198,True,Imported placeholder from FishTalk
104,L02 Skopun Hall,19,L02 Skopun,Faroe Islands,1,True,Imported placeholder from FishTalk
102,høll A,19,L02 Skopun,Faroe Islands,2,True,Imported placeholder from FishTalk
103,høll B,19,L02 Skopun,Faroe Islands,2,True,Imported placeholder from FishTalk
101,høll C,19,L02 Skopun,Faroe Islands,4,True,Imported placeholder from FishTalk
105,høll D,19,L02 Skopun,Faroe Islands,3,True,Imported placeholder from FishTalk
38,Gamalt,6,S03 Norðtoftir,Faroe Islands,52,True,Imported placeholder from FishTalk
43,Hall 11,6,S03 Norðtoftir,Faroe Islands,10,True,Imported placeholder from FishTalk
42,Hall 18,6,S03 Norðtoftir,Faroe Islands,8,True,Imported placeholder from FishTalk
39,Hall 5 M,6,S03 Norðtoftir,Faroe Islands,12,True,Imported placeholder from FishTalk
44,Hall 800,6,S03 Norðtoftir,Faroe Islands,7,True,Imported placeholder from FishTalk
41,Hall 900,6,S03 Norðtoftir,Faroe Islands,7,True,Imported placeholder from FishTalk
40,Kleking,6,S03 Norðtoftir,Faroe Islands,15,True,Imported placeholder from FishTalk
114,Gamalt,25,S04 Húsar,Faroe Islands,8,True,Imported placeholder from FishTalk
116,Vakstrarhøll 1,25,S04 Húsar,Faroe Islands,6,True,Imported placeholder from FishTalk
115,Vakstrarhøll 2,25,S04 Húsar,Faroe Islands,6,True,Imported placeholder from FishTalk
83,Hall R-,12,S08 Gjógv,Faroe Islands,4,True,Imported placeholder from FishTalk
80,Hall T-,12,S08 Gjógv,Faroe Islands,4,True,Imported placeholder from FishTalk
82,Kleking,12,S08 Gjógv,Faroe Islands,3,True,Imported placeholder from FishTalk
81,Startfóðring,12,S08 Gjógv,Faroe Islands,41,True,Imported placeholder from FishTalk
79,Úti,12,S08 Gjógv,Faroe Islands,54,True,Imported placeholder from FishTalk
111,S10 Svínoy Hall,23,S10 Svínoy,Faroe Islands,66,True,Imported placeholder from FishTalk
57,Gamalt,10,S16 Glyvradalur,Faroe Islands,66,True,Imported placeholder from FishTalk
59,Hall A,10,S16 Glyvradalur,Faroe Islands,85,True,Imported placeholder from FishTalk
64,Hall B,10,S16 Glyvradalur,Faroe Islands,8,True,Imported placeholder from FishTalk
58,Hall C,10,S16 Glyvradalur,Faroe Islands,18,True,Imported placeholder from FishTalk
62,Hall D,10,S16 Glyvradalur,Faroe Islands,4,True,Imported placeholder from FishTalk
65,Hall E1,10,S16 Glyvradalur,Faroe Islands,4,True,Imported placeholder from FishTalk
66,Hall E2,10,S16 Glyvradalur,Faroe Islands,4,True,Imported placeholder from FishTalk
63,Hall Uppstilling broytt - A,10,S16 Glyvradalur,Faroe Islands,16,True,Imported placeholder from FishTalk
61,Klekihøll,10,S16 Glyvradalur,Faroe Islands,68,True,Imported placeholder from FishTalk
60,Startfóðringshøll,10,S16 Glyvradalur,Faroe Islands,31,True,Imported placeholder from FishTalk
76,5m,11,S21 Viðareiði,Faroe Islands,6,True,Imported placeholder from FishTalk
71,A,11,S21 Viðareiði,Faroe Islands,6,True,Imported placeholder from FishTalk
70,BA,11,S21 Viðareiði,Faroe Islands,9,True,Imported placeholder from FishTalk
78,BB,11,S21 Viðareiði,Faroe Islands,6,True,Imported placeholder from FishTalk
77,C,11,S21 Viðareiði,Faroe Islands,4,True,Imported placeholder from FishTalk
73,C gamla,11,S21 Viðareiði,Faroe Islands,4,True,Imported placeholder from FishTalk
74,CD,11,S21 Viðareiði,Faroe Islands,14,True,Imported placeholder from FishTalk
72,D,11,S21 Viðareiði,Faroe Islands,8,True,Imported placeholder from FishTalk
68,E,11,S21 Viðareiði,Faroe Islands,8,True,Imported placeholder from FishTalk
